I_43,delta_generated_power4,delta_lambda4,delta_voltage4,dif_generated_power4,dif_lambda4,dif_myu_43,dif_myu_lower_p4,dif_myu_lower_v4,dif_myu_upper_p4,dif_myu_upper_v4,dif_voltage4,generated_power4,iteration4,lambda4,modified_dif_voltage4,myu43,myu_lower_p4,myu_lower_v4,myu_upper_p4,myu_upper_v4,original_generated_power4,original_lambda4,original_voltage4,line43,voltage4,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,350,0,1535270192.090785
0.0,0,0.0,0.0,45.0,0.0,-1000.0,0,-25,-35000,-25,0.0,0,1,0.0,0.0,0.0,22.5,0,0,0,0,0.0,350.0,0,350.0,0.00041937828063964844,1535270192.593874
21.26089131894848,0,0.0074413119616319676,-0.8451618428584879,22.5,7441.311961631968,-978.7391086810516,0,-25.0,-35000,-25.0,0.0,0,2,0.0074413119616319676,0.0,0.0,33.75,0,0,0,0,0.0074413119616319676,349.1548381571415,0,349.1548381571415,0.0005023479461669922,1535270192.606512
32.09873643930919,0,0.007432498790024606,-1.2835371575130807,11.242558688038368,11207.429126515743,-967.9012635606908,0,-24.154838157141512,-35000,-25.845161842858488,16.57824662852455,0,3,0.014873810751656573,0.046796952781890624,0.0,39.371279344019186,0,0,0,0,0.014873810751656573,347.87130099962843,0,347.87130099962843,0.010447263717651367,1535270192.6274931
37.57298104849143,0,0.007347200867165766,-1.5050459049027722,5.6138468452291574,13070.561799773097,-962.4270189515086,0,-22.87130099962843,-35000,-27.12869900037157,25.04271012652686,0,4,0.02222101161882234,0.06997724462818702,0.0,42.17820276663377,0,0,0,0,0.02222101161882234,346.36625509472566,0,346.36625509472566,0.014147520065307617,1535270192.653015
42.68380927805089,0,0.00986125030805176,-1.7066105219955148,2.7995762217474107,14784.231172815991,-957.3161907219492,0,-21.36625509472566,-35000,-28.63374490527434,21.447432622182717,0,5,0.0320822619268741,0.05757266039710161,0.0,43.577990877507474,0,0,0,0,0.0320822619268741,344.65964457273014,0,344.65964457273014,0.012334346771240234,1535270192.6759
45.688739619679225,0,0.010521014279057966,-1.8266684954440393,1.3899268605656514,15747.064758294655,-954.3112603803207,0,-19.659644572730144,-35000,-30.340355427269856,22.655603037314823,0,6,0.042603276205932065,0.05845972742347899,0.0,44.2729543077903,0,0,0,0,0.042603276205932065,342.8329760772861,0,342.8329760772861,0.014978408813476562,1535270192.7018907
47.488641862313195,0,0.010673899389419893,-1.8989795606219104,0.6844424160037677,16280.672419525226,-952.5113581376868,0,-17.832976077286105,-35000,-32.167023922713895,24.177264112620776,0,7,0.05327717559535196,0.06004177362144178,0.0,44.61517551579218,0,0,0,0,0.05327717559535196,340.9339965166642,0,340.9339965166642,0.011831045150756836,1535270192.7246425
48.60852282570113,0,0.010678632263001767,-1.944070795588857,0.33154730861246684,16572.297951737783,-951.3914771742989,0,-15.933996516664195,-35000,-34.066003483335805,25.2736168452206,0,8,0.06395580785835372,0.060305744258313476,0.0,44.78094917009842,0,0,0,0,0.06395580785835372,338.98992572107534,0,338.98992572107534,0.014624834060668945,1535270192.7500396
49.34771833498359,0,0.010634511832461863,-1.9738556606247926,0.15509502204322947,16728.379372880634,-950.6522816650164,0,-13.989925721075338,-35000,-36.01007427892466,25.983125567988594,0,9,0.07459031969081559,0.059403230913184,0.0,44.85849668112003,0,0,0,0,0.07459031969081559,337.01607006045055,0,337.01607006045055,0.014281511306762695,1535270192.7748997
49.87530460540827,0,0.010571281349009365,-1.995115503054194,0.06691299918915411,16808.779151182585,-950.1246953945918,0,-12.016070060450545,-35000,-37.983929939549455,26.440679139450328,0,10,0.08516160103982495,0.05773651177399225,0.0,44.89195318071461,0,0,0,0,0.08516160103982495,335.02095455739635,0,335.02095455739635,0.014463424682617188,1535270192.8006575
50.286418429524616,0,0.0104991353012584,-2.011678819949168,0.02288521824556644,16847.003903531986,-949.7135815704754,0,-10.020954557396351,-35000,-39.97904544260365,26.749242663618777,0,11,0.09566073634108335,0.05560522167932164,0.0,44.90339578983739,0,0,0,0,0.09566073634108335,333.0092757374472,0,333.0092757374472,0.01124715805053711,1535270192.8251958
50.37033511280533,0,0.010345793879056014,-2.015174924232838,0.0009434738215267635,16773.788814567808,-949.6296648871946,0,-8.009275737447183,-35000,-41.99072426255282,26.92423961514217,0,12,0.10600653022013937,0.053191732067280006,0.0,44.90386752674815,0,0,0,0,0.10600653022013937,330.99410081321435,0,330.99410081321435,0.012679815292358398,1535270192.8486154
37.696900014305015,0,0.00662164117782825,-1.5102368239952852,-0.009874056968290218,12477.451523680536,-962.303099985695,0,-5.994100813214345,-35000,-44.005899186785655,24.379166116512877,0,13,0.11262817139796762,0.05042132607805816,0.0,44.89893049826401,0,0,0,0,0.11262817139796762,329.48386398921906,0,329.48386398921906,0.015126228332519531,1535270192.8750637
28.199020628198667,0,0.004734831977875942,-1.1300785779035891,-0.011558669661975454,9291.122277290593,-971.8009793718013,0,-4.48386398921906,-35000,-45.51613601078094,18.882397148744687,0,14,0.11736300337584356,0.038555042743413814,0.0,44.89315116343302,0,0,0,0,0.11736300337584356,328.35378541131547,0,328.35378541131547,0.011796951293945312,1535270192.8979108
21.091956451762996,0,0.007226405820229778,-0.837844788673749,-0.010514166808861372,6925.623742666998,-978.908043548237,0,-3.353785411315471,-35000,-46.64621458868453,-1.2422401807278307,0,15,0.12458940919607334,-0.0190556027484019,0.0,44.88789408002859,0,0,0,0,0.12458940919607334,327.5159406226417,0,327.5159406226417,0.014091730117797852,1535270192.9232092
