delta_generated_power4,delta_lambda4,delta_voltage4,dif_generated_power4,dif_lambda4,dif_myu_43,dif_myu_lower_p4,dif_myu_upper_p4,dif_voltage4,generated_power4,iteration4,lambda4,modified_dif_voltage4,myu43,myu_lower_p4,myu_upper_p4,original_generated_power4,original_lambda4,P_43,line43,voltage4,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1535269915.843769
0.0,0.0,0.0,9.82,0,-1000000,0,-76000,0,0,1,0.0,0,0,4.91,0,0,0.0,0,0,350.0,0.0003895759582519531,1535269916.34666
0.0,0.0,0.0,4.91,0.0,-1000000.0,0,-76000,0.0,0,2,0.0,0.0,0.0,7.365,0,0,0.0,0.0,0,350.0,0.0012905597686767578,1535269916.3590772
0.0,500.0000000000056,-0.0010204078717202928,2.455,5000.000000000056,-995000.0,0,-76000,0.0,0,3,0.050000000000000565,0.0,0.0,8.592500000000001,0,0,0.050000000000000565,5000.000000000056,0,349.6428571428571,0.010480642318725586,1535269916.38194
0.0,1.1383483033931854,-0.0015481354101349884,1.1774999999999987,7578.124999999944,-992421.875,0,-76000,131.25000000000148,0,4,0.1070312499999998,131.25000000000148,0.0,9.18125,0,0,0.1070312499999998,7578.124999999944,0,349.10156249999994,0.012794733047485352,1535269916.4059303
0.0,0.6331903404118735,-0.001855497877994845,0.5317187500000001,9068.603515624915,-990931.3964843751,0,-76000,159.96093749999827,0,5,0.1748657226562492,159.96093749999827,0.0,9.447109375,0,0,0.1748657226562492,9068.603515624915,0,348.4538051060267,0.011404991149902344,1535269916.4298134
0.0,0.40647457488882804,-0.0020032859577687133,0.19802490234375095,9772.739410400249,-990227.2605895997,0,-76000,186.25793457030898,0,6,0.24598484039306467,186.25793457030898,0.0,9.546121826171875,0,0,0.24598484039306467,9772.739410400249,0,347.75575229099815,0.013625144958496094,1535269916.4553194
0.0,0.2945361611003818,-0.002060263568227984,0.027893333435060397,10030.561983585216,-989969.4380164148,0,-76000,194.77314949035133,0,7,0.3184657245874381,194.77314949035133,0.0,9.560068492889405,0,0,0.3184657245874381,10030.561983585216,0,347.03928357788493,0.012130498886108398,1535269916.4781415
0.0,0.23100568502887525,-0.002066781983971837,-0.0585342174768429,10041.566439904302,-989958.4335600957,0,-76000,187.77619674801315,0,8,0.39205621802247925,187.77619674801315,0.0,9.530801384150983,0,0,0.39205621802247925,10041.566439904302,0,346.32202883217747,0.013476133346557617,1535269916.5025017
0.0,0.19101551841160716,-0.0020464842731526323,-0.10285760217346229,9922.399061397271,-990077.6009386027,0,-76000,170.21247131051496,0,9,0.46696414130637837,170.21247131051496,0.0,9.479372583064253,0,0,0.46696414130637837,9922.399061397271,0,345.6132860420777,0.01380014419555664,1535269916.5268867
0.0,0.16378422562902045,-0.0020131411249681586,-0.12633672437063065,9740.759290931435,-990259.2407090686,0,-76000,146.36897944456086,0,10,0.5434618800093269,146.36897944456086,0.0,9.416204220878937,0,0,0.5434618800093269,9740.759290931435,0,344.9175175212969,0.014544248580932617,1535269916.5528724
0.0,0.14404678831497042,-0.0019746739165007387,-0.1396661008882636,9535.397517252364,-990464.6024827476,0,-76000,119.38942474712917,0,11,0.6217602230751178,119.38942474712917,0.0,9.346371170434805,0,0,0.6217602230751178,9535.397517252364,0,344.236417698636,0.011821269989013672,1535269916.5752149
0.0,0.12899778391245204,-0.0019355363596359149,-0.14813139350992288,9327.952148482467,-990672.0478515176,0,-76000,91.42651563381969,0,12,0.7019788137551111,91.42651563381969,0.0,9.272305473679843,0,0,0.7019788137551111,9327.952148482467,0,343.5701354023158,0.013555049896240234,1535269916.6000419
0.0,0.11704273882419658,-0.0018981308568938797,-0.15428428743495393,9129.977714584016,-990870.022285416,0,-76000,63.8858493944922,0,13,0.7841520409874523,63.8858493944922,0.0,9.195163329962366,0,0,0.7841520409874523,9129.977714584016,0,342.9179941369884,0.013421773910522461,1535269916.6244774
0.0,0.10722879171448442,-0.0018636536159491218,-0.15931537094981785,8947.127645579314,-991052.8723544207,0,-76000,37.638143907632184,0,14,0.8682464397421551,37.638143907632184,0.0,9.115505644487456,0,0,0.8682464397421551,8947.127645579314,0,342.2789135908756,0.014867544174194336,1535269916.6502469
0.0,0.09896206836608296,-0.0018325999181466747,-0.16375208422961085,8781.646892059485,-991218.3531079405,0,-76000,13.181764297708469,0,15,0.954179799477363,13.181764297708469,0.0,9.03362960237265,0,0,0.954179799477363,8781.646892059485,0,341.65165309858565,0.01174306869506836,1535269916.6748352
0.0,0.09185810557954133,-0.001805066283523152,-0.16780940185001347,8633.856843147867,-991366.1431568521,0,-76000,-9.238362989354755,0,16,1.041838134050178,-9.238362989354755,0.0,8.949724901447643,0,0,1.041838134050178,8633.856843147867,0,341.0349490383608,0.012807607650756836,1535269916.698173
0.0,0.08565880972971283,-0.0017809307906718468,-0.17156303549782126,8503.037473429798,-991496.9625265702,0,-76000,-29.54563948306759,0,17,1.1310893144249143,-29.54563948306759,0.0,8.863943383698732,0,0,1.1310893144249143,8503.037473429798,0,340.4275892188301,0.013556957244873047,1535269916.7230449
0.0,0.08018464856586623,-0.0017599600829794895,-0.1750326981236463,8387.948018324834,-991612.0519816752,0,-76000,-47.771762187636796,0,18,1.2217933320635392,-47.771762187636796,0.0,8.776427034636908,0,0,1.2217933320635392,8387.948018324834,0,339.82845007466403,0.013602972030639648,1535269916.747298
0.0,0.07530632392877074,-0.0017418721809935825,-0.17822036670044739,8287.130567553988,-991712.869432446,0,-76000,-64.01492576669443,0,19,1.3138096271343211,-64.01492576669443,0.0,8.687316851286685,0,0,1.3138096271343211,8287.130567553988,0,339.2365121769816,0.013186931610107422,1535269916.7718558
0.0,0.07092757407936745,-0.0017263726464526775,-0.1811264784210056,8199.08331112663,-991800.9166888733,0,-76000,-78.41112510628136,0,20,1.4070020495464848,-78.41112510628136,0.0,8.596753612076181,0,0,1.4070020495464848,8199.08331112663,0,338.650863369044,0.014531373977661133,1535269916.7976522
0.0,0.06697449894666255,-0.001713174708107492,-0.18375566162266588,8122.3557144813585,-991877.6442855187,0,-76000,-91.11478313268799,0,21,1.5012420042816825,-91.11478313268799,0.0,8.504875781264849,0,0,1.5012420042816825,8122.3557144813585,0,338.0706951037239,0.011523962020874023,1535269916.820175
0.0,0.06338878938281854,-0.001702009784009349,-0.1861177855465308,8055.597213360614,-991944.4027866394,0,-76000,-102.2859597716888,0,22,1.5964102563826728,-102.2859597716888,0.0,8.411816888491582,0,0,1.5964102563826728,8055.597213360614,0,337.49529530276953,0.014040470123291016,1535269916.8456407
0.0,0.06012333632994696,-0.0016926323098932052,-0.18822714487425496,7997.578547414861,-992002.4214525851,0,-76000,-112.08216337189697,0,23,1.692397779481378,-112.08216337189697,0.0,8.317703316054455,0,0,1.692397779481378,7997.578547414861,0,336.9240396922399,0.011936426162719727,1535269916.8680224
