delta_generated_power1,delta_lambda1,delta_voltage1,dif_generated_power1,dif_lambda1,dif_myu_12,dif_myu_lower_p1,dif_myu_upper_p1,dif_voltage1,generated_power1,iteration1,lambda1,modified_dif_voltage1,myu12,myu_lower_p1,myu_upper_p1,original_generated_power1,original_lambda1,P_12,line12,voltage1,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1535269915.8414752
0.0,0.0,0.0,4.0,0,-2000000,0,-30000,0,0,1,0.0,0,0,2.0,0,0,0.0,0,0,350.0,0.0004456043243408203,1535269916.3451016
0.0,0.0,0.0,2.0,0.0,-2000000.0,0,-30000,0.0,0,2,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0,350.0,0.014189481735229492,1535269916.3709714
0.0,312.5000000000085,-0.0001275509839651178,1.0,625.0000000000568,-1999375.0,0,-30000,-175.000000000002,0,3,0.031250000000000853,-175.000000000002,0.0,3.5,0,0,0.031250000000000853,625.0000000000568,0,349.9553571428571,0.011212348937988281,1535269916.392923
0.0,1.766223086124358,-0.00029300603950331317,0.46874999999999917,1435.546875,-1998564.453125,0,-30000,-287.1093750000009,0,4,0.08662109375000099,-287.1093750000009,0.0,3.7343749999999996,0,0,0.08662109375000099,1435.546875,0,349.8528180803571,0.011748075485229492,1535269916.41836
0.0,0.852436842923154,-0.0004634079792120653,0.17900390624999946,2269.744873046875,-1997730.2551269531,0,-30000,-358.5876464843747,0,5,0.1605453491210947,-358.5876464843747,0.0,3.823876953124999,0,0,0.1605453491210947,2269.744873046875,0,349.69069344656805,0.011691808700561523,1535269916.4412873
0.0,0.5362813158075044,-0.0006208469685090376,0.015577697753906106,3039.4625663757042,-1996960.5374336243,0,-30000,-390.29531478881654,0,6,0.24669644832611126,-390.29531478881654,0.0,3.831665802001952,0,0,0.24669644832611126,3039.4625663757042,0,349.4735889775412,0.01275491714477539,1535269916.4672368
0.0,0.3803337742807705,-0.0007593196792513996,-0.07836225032806332,3715.07149189722,-1996284.928508103,0,-30000,-397.00016826390754,0,7,0.3405614729970703,-397.00016826390754,0.0,3.7924846768379203,0,0,0.3405614729970703,3715.07149189722,0,349.20822672812,0.012214183807373047,1535269916.4903283
0.0,0.28961977755079105,-0.0008782796929023665,-0.13304614983499063,4293.836147408115,-1995706.163852592,0,-30000,-390.0675698881862,0,8,0.4392237730266066,-390.0675698881862,0.0,3.725961601920425,0,0,0.4392237730266066,4293.836147408115,0,348.9015241461623,0.013542652130126953,1535269916.514699
0.0,0.23129170477855276,-0.0009794230121799394,-0.1651853749470315,4784.111915460102,-1995215.88808454,0,-30000,-376.39577680928164,0,9,0.5408357174396764,-376.39577680928164,0.0,3.643368914446909,0,0,0.5408357174396764,4784.111915460102,0,348.55980186648657,0.013373136520385742,1535269916.5395849
0.0,0.1911236067620551,-0.0010651496771139908,-0.18420463188658542,5197.758536991614,-1994802.2414630083,0,-30000,-359.85599981502287,0,10,0.6442213027831672,-359.85599981502287,0.0,3.5512665985036165,0,0,0.6442213027831672,5197.758536991614,0,348.1885333995586,0.011996746063232422,1535269916.5644367
