I_12,delta_generated_power1,delta_lambda1,delta_voltage1,dif_generated_power1,dif_lambda1,dif_myu_12,dif_myu_lower_p1,dif_myu_lower_v1,dif_myu_upper_p1,dif_myu_upper_v1,dif_voltage1,generated_power1,iteration1,lambda1,modified_dif_voltage1,myu12,myu_lower_p1,myu_lower_v1,myu_upper_p1,myu_upper_v1,original_generated_power1,original_lambda1,original_voltage1,line12,voltage1,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,350,0,1535270361.553714
0.0,0,0.0,0.0,10.0,0.0,-1000.0,0,-25,-7000,-25,0.0,0,1,0.0,0.0,0.0,5.0,0,0,0,0,0.0,350.0,0,350.0,0.0005230903625488281,1535270362.0563977
0.3348214285714556,0,0.00011718750000000944,-0.01774546473245664,5.0,117.18750000000945,-999.6651785714286,0,-25.0,-7000,-25.0,0.0,0,2,0.00011718750000000944,0.0,0.0,7.5,0,0,0,0,0.00011718750000000944,349.98225453526754,0,349.98225453526754,0.01864480972290039,1535270362.0885248
0.7009759421280167,0,0.000186710511051797,-0.0377377626219868,2.4998828125,245.32914060094652,-999.299024057872,0,-24.982254535267543,-7000,-25.017745464732457,0.1935430395216935,0,3,0.0003038980110518064,0.0005527734375000444,0.0,8.74994140625,0,0,0,0,0.0003038980110518064,349.94451677264556,0,349.94451677264556,0.011686086654663086,1535270362.1118534
0.9987303524025856,0,0.00019745926999768782,-0.054452906352935315,1.2497546957389476,349.5002105576968,-999.0012696475974,0,-24.944516772645557,-7000,-25.055483227354443,0.5019443990330636,0,4,0.0005013572810494942,0.0014334869181313707,0.0,9.374818754119474,0,0,0,0,0.0005013572810494942,349.8900638662926,0,349.8900638662926,0.015922069549560547,1535270362.1394475
1.2019271255764838,0,0.00016968116141968955,-0.06621049482112085,0.6246798885994767,420.5423587305854,-998.7980728744235,0,-24.89006386629262,-7000,-25.10993613370738,0.828058409849485,0,5,0.0006710384424691838,0.0023649022947104643,0.0,9.687158698419212,0,0,0,0,0.0006710384424691838,349.8238533714715,0,349.8238533714715,0.017180919647216797,1535270362.167593
1.3186420799264227,0,0.0001255051124883261,-0.07324562409638702,0.3121702631383184,461.2924536176331,-998.6813579200735,0,-24.8238533714715,-7000,-25.1761466285285,1.108178221253786,0,6,0.0007965435549575099,0.0031652883331271396,0.0,9.843243829988372,0,0,0,0,0.0007965435549575099,349.7506077473751,0,349.7506077473751,0.02203655242919922,1535270362.2206051
1.3674180635799642,0,7.965341296747733e-05,-0.07645888633641107,0.15595962645667005,478.2552987818313,-998.63258193642,0,-24.750607747375113,-7000,-25.249392252624887,1.3152057496021448,0,7,0.0008761969679249872,0.003757295948734574,0.0,9.921223643216708,0,0,0,0,0.0008761969679249872,349.6741488610387,0,349.6741488610387,0.011046648025512695,1535270362.2433057
1.367210903978912,0,3.9616682046056157e-05,-0.07684650433452589,0.07790015981536721,478.07830916235736,-998.632789096021,0,-24.674148861038702,-7000,-25.325851138961298,1.4464085806123004,0,8,0.0009158136499710434,0.004133021097702165,0.0,9.960173723124392,0,0,0,0,0.0009158136499710434,349.5973023567042,0,349.5973023567042,0.016204118728637695,1535270362.2717676
1.3338732626051666,0,8.041280601605726e-06,-0.0752777722750011,0.038910463225637314,466.3184942925019,-998.6661267373948,0,-24.597302356704176,-7000,-25.402697643295824,1.5114445140357988,0,9,0.0009238549305726491,0.004319892986913411,0.0,9.97962895473721,0,0,0,0,0.0009238549305726491,349.5220245844292,0,349.5220245844292,0.01899552345275879,1535270362.3065052
1.2794886146144826,0,-1.5076498282299905e-05,-0.07243548481699236,0.01944719033221723,447.2094510127804,-998.7205113853855,0,-24.522024584429175,-7000,-25.477975415570825,1.5243374268965562,0,10,0.0009087784322903492,0.004357823707511185,0.0,9.98935254990332,0,0,0,0,0.0009087784322903492,349.4495890996122,0,349.4495890996122,0.014054536819458008,1535270362.332942
1.2127852340545349,0,-3.0916233782892866e-05,-0.0688245956503124,0.009738671664390096,423.8073017064342,-998.7872147659455,0,-24.449589099612183,-7000,-25.550410900387817,1.4990904551177242,0,11,0.0008778621985074563,0.004286707865113577,0.0,9.994221885735515,0,0,0,0,0.0008778621985074563,349.38076450396187,0,349.38076450396187,0.014837503433227539,1535270362.358993
1.1398416861547769,0,-4.099592153410537e-05,-0.06480371453329781,0.004900252065977812,398.2387597222409,-998.8601583138452,0,-24.38076450396187,-7000,-25.61923549603813,1.4477430431565206,0,12,0.000836866276973351,0.0041408759903596715,0.0,9.996672011768503,0,0,0,0,0.000836866276973351,349.3159607894286,0,349.3159607894286,0.013848066329956055,1535270362.3879514
1.064768959837054,0,-4.676274032319196e-05,-0.06061956446671957,0.002491121954523808,371.940792224241,-998.935231040163,0,-24.315960789428573,-7000,-25.684039210571427,1.3798152056324655,0,13,0.000790103536650159,0.003947498228483296,0.0,9.997917572745765,0,0,0,0,0.000790103536650159,349.25534122496185,0,349.25534122496185,0.011808633804321289,1535270362.4114377
0.9902687870149427,0,-4.943256942425403e-05,-0.056436928101049944,0.0012923237175850827,345.8566631133329,-999.009731212985,0,-24.255341224961853,-7000,-25.744658775038147,1.3024285662261452,0,14,0.000740670967225905,0.0037269183823787997,0.0,9.998563734604557,0,0,0,0,0.000740670967225905,349.1989042968608,0,349.1989042968608,0.01444101333618164,1535270362.4393413
