delta_generated_power2,delta_lambda2,delta_voltage2,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_upper_p2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_upper_p2,original_generated_power2,original_lambda2,P_21,P_23,line21,line23,voltage2,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1535269915.1450586
0.0,0.0,0.0,17.26,0,-2000000,-25000,0,-100000,0,0,1,0.0,0,0,0,8.63,0,0,0.0,0,0,0,0,350.0,0.0007534027099609375,1535269915.6470027
0.0,0.0,0.0,8.63,0.0,-2000000.0,-25000.0,0,-100000,0.0,0,2,0.0,0.0,0.0,0.0,12.945,0,0,0.0,0.0,0.0,0,0,350.0,0.7006165981292725,1535269916.358328
0.0,500.0000000000056,-0.0005102039358601464,4.315000000000001,5000.000000000056,-2000000.0,-19999.99999999994,0,-100000,0.0,0,3,0.050000000000000565,0.0,0.0,0.0,15.102500000000001,0,0,0.050000000000000565,0.0,5000.000000000056,0,0,349.82142857142856,0.01235818862915039,1535269916.3815086
0.0,1.263098802395206,-0.0007896245828536624,2.1075,7734.375000000056,-1999531.25,-16796.875,0,-100000,196.8750000000005,0,4,0.11328125000000111,196.8750000000005,0.0,0.0,16.15625,0,0,0.11328125000000111,-468.74999999994316,8203.125,0,0,349.5452008928571,0.012249946594238281,1535269916.4044473
0.0,0.6684831665839727,-0.000975213646945113,0.9904687500000005,9544.677734375,-1998923.33984375,-14378.662109375,0,-100000,275.1464843750032,0,5,0.1890747070312509,275.1464843750032,0.0,0.0,16.651484375,0,0,0.1890747070312509,-1076.66015625,10621.337890625,0,0,349.20431954520086,0.014205455780029297,1535269916.4294336
0.0,0.4386611216406127,-0.0010940410640785287,0.41944091796875166,10697.23129272458,-1998297.6913452148,-12600.460052490263,0,-100000,335.84213256836176,0,6,0.2720582962036137,335.84213256836176,0.0,0.0,16.861204833984374,0,0,0.2720582962036137,-1702.3086547851562,12399.539947509737,0,0,348.8222755704607,0.012887954711914062,1535269916.4538224
0.0,0.3235865775724304,-0.0011757720241818376,0.12673686981201399,11483.796536922342,-1997720.4030752182,-11236.606538295831,0,-100000,374.79671239853155,0,7,0.36012506783008486,374.79671239853155,0.0,0.0,16.92457326889038,0,0,0.36012506783008486,-2279.5969247818275,13763.393461704169,0,0,348.4121399798563,0.014745235443115234,1535269916.4792507
0.0,0.25507464772339716,-0.0012362469802785993,-0.02469833672046401,12060.260227881201,-1997213.6963810772,-10153.436153195884,0,-100000,402.0564800128277,0,8,0.4520093501079806,402.0564800128277,0.0,0.0,16.91222410053015,0,0,0.4520093501079806,-2786.303618922915,14846.563846804116,0,0,347.9814164002891,0.012542247772216797,1535269916.5029356
0.0,0.20958662636137096,-0.0012839227136299345,-0.10423345063812872,12509.878439231927,-1996779.622889444,-9269.744450211987,0,-100000,424.7979533945786,0,9,0.5467654235435442,424.7979533945786,0.0,0.0,16.860107375211086,0,0,0.5467654235435442,-3220.3771105560863,15730.255549788013,0,0,347.5346350274594,0.013968467712402344,1535269916.5278735
0.0,0.17716661114810278,-0.0013233411867402916,-0.146872798754629,12877.396803172305,-1996411.9160634049,-8534.51926023257,0,-100000,446.42743863817896,0,10,0.6436517173868258,446.42743863817896,0.0,0.0,16.786670975833772,0,0,0.6436517173868258,-3588.083936595126,16465.48073976743,0,0,347.0747279987747,0.012523889541625977,1535269916.5513556
0.0,0.15291652223896413,-0.0013569856063396762,-0.17032269322059623,13187.315285680965,-1996101.6810972563,-7914.365811575324,0,-100000,468.06030668118,0,11,0.7420919911949797,468.06030668118,0.0,0.0,16.701509629223473,0,0,0.7420919911949797,-3898.3189027437106,17085.634188424676,0,0,346.6037524528575,0.01444864273071289,1535269916.576357
