I_21,I_23,delta_generated_power2,delta_lambda2,delta_voltage2,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_lower_v2,dif_myu_upper_p2,dif_myu_upper_v2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_lower_v2,myu_upper_p2,myu_upper_v2,original_generated_power2,original_lambda2,original_voltage2,line21,line23,voltage2,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,350,0,1535395856.851425
0,0,-50000,0.0,-1.7857142857142776,0.0,0,-1000,-1000,-50000,-25,50000,-25,0,-50000,1,0.0,0,0.0,0.0,0,0,0.0,0,-50000,0.0,348.2142857142857,0,0,348.2142857142857,0.002415895462036133,1535395857.3583121
-17.857142857142776,-17.857142857142776,0,0.0,-1.348443223443212,0.0,37563.77551020414,-982.1428571428572,-982.1428571428572,0,-23.214285714285722,0,-26.785714285714278,0.0,-50000,2,0.0,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,346.8658424908425,0,0,346.8658424908425,0.0002911090850830078,1535395857.369254
-26.877289377289344,-26.877289377289344,0,0.003149214413474915,-1.0984249921057767,0.0,31354.37275255272,-973.1227106227107,-973.1227106227107,0,-21.86584249084251,0,-28.13415750915749,-43.69419642857124,-50000,3,0.003149214413474915,-0.12499999999999943,0.0,0.0,0,0,0.0,0,-50000,0.003149214413474915,345.76741749873673,0,0,345.76741749873673,0.0020384788513183594,1535395857.38302
-30.827314131219623,-30.827314131219623,0,0.004743148438287041,-0.989459101503428,-0.003149214413474915,28681.838408851756,-969.1726858687804,-969.1726858687804,0,-20.767417498736734,0,-29.232582501263266,-65.60104745278707,-50000,4,0.007892362851761956,-0.18693619701249098,0.0,0.0,0,0,0.0015746072067374575,0,-50000,0.007892362851761956,344.7779583972333,0,0,344.7779583972333,0.0003116130828857422,1535395857.394117
-32.54082340081595,-32.54082340081595,0,0.00543220525736637,-0.944918256128517,-0.006317755645024499,27561.282686603525,-967.459176599184,-967.459176599184,0,-19.777958397233306,0,-30.222041602766694,-74.91618552917977,-50000,5,0.013324568109128326,-0.21230484822474066,0.0,0.0,0,0,0.004733485029249707,0,-50000,0.013324568109128326,343.8330401411048,0,0,343.8330401411048,0.003216266632080078,1535395857.4081042
-33.3116960716319,-33.3116960716319,0,0.005721375873787668,-0.9277365431495923,-0.00859108307987862,27092.676534868613,-966.6883039283681,-966.6883039283681,0,-18.83304014110479,0,-31.16695985889521,-78.68792241897533,-50000,6,0.019045943982915994,-0.22154491853350067,0.0,0.0,0,0,0.009029026569189018,0,-50000,0.019045943982915994,342.9053035979552,0,0,342.9053035979552,0.003265380859375,1535395857.4224675
-33.689175256050135,-33.689175256050135,0,0.005842579772540074,-0.9220054605372638,-0.010016917413726976,26895.606261718818,-966.3108247439499,-966.3108247439499,0,-17.905303597955196,0,-32.094696402044804,-80.13806362792502,-50000,7,0.02488852375545607,-0.22401752806546887,0.0,0.0,0,0,0.014037485276052506,0,-50000,0.02488852375545607,341.98329813741793,0,0,341.98329813741793,0.0002548694610595703,1535395857.4337382
-33.90291365078383,-33.90291365078383,0,0.00589405386329183,-0.9210612513850833,-0.010851038479403562,26811.539546473716,-966.0970863492162,-966.0970863492162,0,-16.983298137417933,0,-33.01670186258207,-80.6267191827252,-50000,8,0.0307825776187479,-0.22367531173097993,0.0,0.0,0,0,0.019463004515754286,0,-50000,0.0307825776187479,341.06223688603285,0,0,341.06223688603285,0.004515409469604492,1535395857.4492478
-34.04868898584937,-34.04868898584937,0,0.005916649303937101,-0.9221264004276577,-0.011319573102993613,26774.555942898773,-965.9513110141506,-965.9513110141506,0,-16.06223688603285,0,-33.93776311396715,-80.71782585883908,-50000,9,0.036699226922685,-0.22215590089055848,0.0,0.0,0,0,0.025122791067251092,0,-50000,0.036699226922685,340.1401104856052,0,0,340.1401104856052,0.0024497509002685547,1535395857.462875
-34.166474373561755,-34.166474373561755,0,0.005927285317046151,-0.9240433758809559,-0.011576435855433907,26757.22326334621,-965.8335256264382,-965.8335256264382,0,-15.140110485605192,0,-34.85988951439481,-80.64429930479135,-50000,10,0.04262651223973115,-0.2201347078057374,0.0,0.0,0,0,0.030911008994968046,0,-50000,0.04262651223973115,339.21606710972424,0,0,339.21606710972424,0.001005411148071289,1535395857.475243
-34.27298259032568,-34.27298259032568,0,0.005932969222718555,-0.9263292236035454,-0.011715503244763104,26748.107275179347,-965.7270174096743,-965.7270174096743,0,-14.216067109724236,0,-35.783932890275764,-80.50233944054507,-50000,11,0.048559481462449705,-0.21789007504255098,0.0,0.0,0,0,0.0367687606173496,0,-50000,0.048559481462449705,338.2897378861207,0,0,338.2897378861207,0.0021975040435791016,1535395857.4885333
