delta_generated_power6,delta_lambda6,delta_voltage6,dif_generated_power6,dif_lambda6,dif_myu_61,dif_myu_62,dif_myu_65,dif_myu_lower_p6,dif_myu_upper_p6,dif_voltage6,generated_power6,iteration6,lambda6,modified_dif_voltage6,myu61,myu62,myu65,myu_lower_p6,myu_upper_p6,original_generated_power6,original_lambda6,P_61,P_62,P_65,line61,line62,line65,voltage6,time step,current time
0,0.0615196597357488,-0.007121481976071209,-0.12354796287490133,149.5511214970236,-914.5951592083463,-128.59709431212423,-893.641132023447,0,0,-1291.912854450724,-200,19,0.8931804033246834,-1291.912854450724,0.0,0.0,0.0,0,0.769886762151484,-200,0.8931804033246834,-85.40484079165367,-71.40290568787577,106.35886797655303,0,0,0,349.869314959782,0.0003838539123535156,1526286604.4802325
0,0.061393429791616994,-0.007126268638444344,-0.12329364117319941,149.65164140765523,-914.521666265955,-128.58778139387255,-893.4578062521723,0,0,-1289.262025623957,-200,20,0.9545738331163004,-1289.262025623957,0.0,0.0,0.0,0,0.8315335827380836,-200,0.9545738331163004,-85.47833373404501,-71.41221860612745,106.5421937478277,0,0,0,349.86218869114356,0.0038166046142578125,1526286604.4980352
0,0.06128183886771554,-0.007130007568207475,-0.12304025037821675,149.73015893188517,-914.4658382469402,-128.58184770599905,-893.317527021054,0,0,-1286.9186162220285,-200,21,1.015855671984016,-1286.9186162220285,0.0,0.0,0.0,0,0.8930537079271921,-200,1.015855671984016,-85.53416175305983,-71.41815229400095,106.68247297894595,0,0,0,349.85505868357535,0.00043702125549316406,1526286604.5108376
0,0.061185072366824134,-0.007132919008938643,-0.12280196405682386,149.79129918783656,-914.423354561194,-128.5780670806787,-893.2101224540361,0,0,-1284.8865197033047,-200,22,1.07704074435084,-1284.8865197033047,0.0,0.0,0.0,0,0.954454689955604,-200,1.07704074435084,-85.57664543880605,-71.4219329193213,106.78987754596392,0,0,0,349.8479257645664,0.0029425621032714844,1526286604.5263064
0,0.06110238501595022,-0.007135180404588937,-0.12258605439523607,149.83878849669168,-914.3909775195311,-128.57565827074495,-893.1278472935844,0,0,-1283.1500853349535,-200,23,1.1381431293667903,-1283.1500853349535,0.0,0.0,0.0,0,1.015747717153222,-200,1.1381431293667903,-85.60902248046887,-71.42434172925505,106.87215270641559,0,0,0,349.8407905841618,0.0003638267517089844,1526286604.538054
0,0.06103253975825629,-0.007136933314995986,-0.1223954122135682,149.87559961504076,-914.36627191149,-128.57412350713275,-893.064795803582,0,0,-1281.6833349233802,-200,24,1.1991756691250466,-1281.6833349233802,0.0,0.0,0.0,0,1.0769454232600062,-200,1.1991756691250466,-85.63372808851,-71.42587649286725,106.935204196418,0,0,0,349.8336536508468,0.003633737564086914,1526286604.5548692
0,0.06097408816745786,-0.007138289821909893,-0.12223024586504039,149.9040862598349,-914.3474002300422,-128.5731456387225,-893.0164596089298,0,0,-1280.4558515166154,-200,25,1.2601497572925044,-1280.4558515166154,0.0,0.0,0.0,0,1.1380605461925264,-200,1.2601497572925044,-85.65259976995776,-71.42685436127749,106.98354039107016,0,0,0,349.8265153610249,0.0014679431915283203,1526286604.5681093
0,0.060925543640067525,-0.0071393381456346106,-0.12208921109997806,149.92610105845188,-914.3329721481166,-128.57252259378242,-892.9793936834471,0,0,-1279.4364164414164,-200,26,1.321075300932572,-1279.4364164414164,0.0,0.0,0.0,0,1.1991051517425153,-200,1.321075300932572,-85.6670278518834,-71.42747740621758,107.02060631655286,0,0,0,349.8193760228793,0.006073951721191406,1526286604.58763
0,0.06088548303342467,-0.007140147402651564,-0.12197014919005666,149.94309545600686,-914.321933212733,-128.57212562333302,-892.9509633800592,0,0,-1278.5951437019194,-200,27,1.3819607839659966,-1278.5951437019194,0.0,0.0,0.0,0,1.2600902263375438,-200,1.3819607839659966,-85.67806678726697,-71.42787437666698,107.04903661994081,0,0,0,349.81223587547663,0.0003905296325683594,1526286604.5985308
0,0.0608526013723405,-0.0071407715419695705,-0.12187055762845289,149.95620238128708,-914.3134821028696,-128.57187269530073,-892.9291524168832,0,0,-1277.9046288191512,-200,28,1.4428133853383371,-1277.9046288191512,0.0,0.0,0.0,0,1.3210255051517703,-200,1.4428133853383371,-85.68651789713044,-71.42812730469927,107.0708475831168,0,0,0,349.80509510393466,0.007172346115112305,1526286604.6165154
