delta_generated_power2,delta_lambda2,delta_voltage2,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_26,dif_myu_lower_p2,dif_myu_upper_p2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu26,myu_lower_p2,myu_upper_p2,original_generated_power2,original_lambda2,P_21,P_23,P_26,line21,line23,line26,voltage2,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1527595797.5144315
0,0.0,0.0,0,0,-1000,-25,-2000,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,350.0,0.000989675521850586,1527595807.5294802
0,0.0,0.0,0.0,0.0,-1000.0,-25.0,-2000.0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,350.0,0.0003314018249511719,1527595807.540422
0,0.16666666666623087,-0.0007936507936392445,0.0,16.666666666623087,-1000.0,-25.0,-1983.333333333377,0,0,0.0,0,3,0.16666666666623087,0.0,0.0,0.0,0.0,0.0,0.0,0,0.16666666666623087,0.0,0.0,16.666666666623087,0,0,0,349.99920634920636,0.002524137496948242,1527595807.5537841
0,0.2986111111127343,-0.0014880952380735835,-0.16666666666623087,31.25000000014211,-998.6111111111313,-21.527777777629353,-1973.6111111110972,0,0,291.66666666242236,0,4,0.4652777777789652,291.66666666242236,0.0,0.0,0.0,0,0.08333333333311543,0,0.4652777777789652,1.388888888868678,3.4722222223706467,26.388888888902784,0,0,0,349.9977182539683,0.0031423568725585938,1527595807.567518
0,0.333912037039915,-0.0019648368606794975,-0.38194444444584974,41.2615740744684,-997.916666666498,-18.229166666566243,-1967.5925925924673,0,0,1652.7777778001491,0,5,0.7991898148188802,1652.7777778001491,0.0,0.0,0.0,0,0.2743055555560403,0,0.7991898148188802,2.083333333501969,6.770833333433757,32.40740740753267,0,0,0,349.9957534171076,0.003831624984741211,1527595807.5834413
0,0.33680555555607017,-0.002290013227536747,-0.5248842592628399,48.09027777807273,-997.7334104937938,-15.383873456664787,-1963.7924382714687,0,0,3026.041666717798,0,6,1.1359953703749504,3026.041666717798,0.0,0.0,0.0,0,0.5367476851874602,0,1.1359953703749504,2.2665895062061736,9.616126543335213,36.207561728531346,0,0,0,349.99346340388007,0.0025985240936279297,1527595807.5981562
0,0.32937885802340094,-0.002513954720257061,-0.5992476851874902,52.793049125597236,-997.8298611111427,-12.999131944320652,-1961.3779578189394,0,0,4169.584297884001,0,7,1.4653742283983513,4169.584297884001,0.0,0.0,0.0,0,0.8363715277812053,0,1.4653742283983513,2.170138888857309,12.000868055679348,38.62204218106058,0,0,0,349.9909494491598,0.0026502609252929688,1527595807.6120245
0,0.3191195934076405,-0.0026696152998511025,-0.629002700617146,56.06192129647525,-998.0582615311562,-11.038907107285922,-1959.8409100650827,0,0,5071.492010699358,0,8,1.7844938218059918,5071.492010699358,0.0,0.0,0.0,0,1.1508728780897783,0,1.7844938218059918,1.9417384688438233,13.961092892714078,40.15908993491735,0,0,0,349.98827983385996,0.0004291534423828125,1527595807.6230848
0,0.3088711013389751,-0.0027787659926161723,-0.6336209437162135,58.354085844541714,-998.3330118312779,-9.451055330538338,-1958.861846993642,0,0,5768.06489923528,0,9,2.093364923144967,5768.06489923528,0.0,0.0,0.0,0,1.467683349947885,0,2.093364923144967,1.6669881687221277,15.548944669461662,41.138153006357925,0,0,0,349.98550106786735,0.004645824432373047,1527595807.6393683
0,0.29970816245914556,-0.0028559628999005326,-0.625681573197082,59.97522089850804,-998.6076486382558,-8.179038393245719,-1958.2380920699904,0,0,6300.924977044633,0,10,2.3930730856041125,6300.924977044633,0.0,0.0,0.0,0,1.780524136546426,0,2.3930730856041125,1.392351361744204,16.82096160675428,41.761907930009556,0,0,0,349.98264510496745,0.0004019737243652344,1527595807.6503894
0,0.29194303037215175,-0.0029110211092984173,-0.6125489490576865,61.13144329466991,-998.8592174862276,-7.168660035057428,-1957.840679184045,0,0,6706.7994540654945,0,11,2.685016115976264,6706.7994540654945,0.0,0.0,0.0,0,2.0867986110752694,0,2.685016115976264,1.1407825137723648,17.831339964942572,42.15932081595497,0,0,0,349.97973408385815,0.00627589225769043,1527595807.6680052
