delta_generated_power4,delta_lambda4,delta_voltage4,dif_generated_power4,dif_lambda4,dif_myu_41,dif_myu_43,dif_myu_lower_p4,dif_myu_upper_p4,dif_voltage4,generated_power4,iteration4,lambda4,modified_dif_voltage4,myu41,myu43,myu_lower_p4,myu_upper_p4,original_generated_power4,original_lambda4,P_41,P_43,line41,line43,voltage4,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1526297660.3494637
0,0.0,0.0,5.0,0,-2000,-200,0,-900,0,0,1,0.0,0,0.0,0.0,2.5,0,0,0.0,0,0,0,0,350.0,0.0006375312805175781,1526297670.3604076
0,0.0,0.0,2.5,0.0,-2000.0,-200.0,0,-900,0.0,0,2,0.0,0.0,0.0,0.0,3.75,0,0,0.0,0.0,0.0,0,0,350.0,0.0002319812774658203,1526297670.3712444
0,0.15000000000000568,-0.010714285714300331,1.25,150.00000000000568,-1849.9999999999943,-200.0,0,-900,0.0,0,3,0.15000000000000568,0.0,0.0,0.0,4.375,0,0,0.15000000000000568,150.00000000000568,0.0,0,0,349.9892857142857,0.002388477325439453,1526297670.3852458
0,0.07499999999980389,-0.010714285714300331,0.4749999999999943,149.99999999980673,-1812.500000000142,-162.49999999994884,0,-900,1050.0000000000398,0,4,0.22499999999980957,1050.0000000000398,0.0,0.0,4.612499999999997,0,0,0.22499999999980957,187.4999999998579,-37.50000000005116,0,0,349.9785714285714,0.0035479068756103516,1526297670.400012
0,0.056249999999902656,-0.010714285714243488,0.16250000000019327,149.99999999980673,-1793.750000000216,-143.75000000002274,0,-900,1312.4999999986571,0,5,0.28124999999971223,1312.4999999986571,0.0,0.0,4.693750000000094,0,0,0.28124999999971223,206.249999999784,-56.24999999997726,0,0,349.96785714285716,0.0002143383026123047,1526297670.4107065
0,0.03731250000028119,-0.010031249999997272,0.025000000000193978,140.43750000016075,-1784.3749999999545,-124.81250000011528,0,-900,1443.749999998314,0,6,0.3185624999999934,1443.749999998314,0.0,0.0,4.706250000000191,0,0,0.3185624999999934,215.62500000004547,-75.18749999988472,0,0,349.95782589285716,0.003380298614501953,1526297670.4256992
0,0.025500000000072465,-0.009348214285751055,-0.0248125000001842,130.87500000011687,-1777.296874999962,-108.1718750000789,0,-900,1475.2500000006216,0,7,0.3440625000000659,1475.2500000006216,0.0,0.0,4.693843750000099,0,0,0.3440625000000659,222.70312500003797,-91.8281249999211,0,0,349.9484776785714,0.00690913200378418,1526297670.44336
0,0.01603124999966954,-0.008663504464266225,-0.037906250000164565,121.28906249972715,-1771.3671875002035,-92.65624999993065,0,-900,1473.6093750008065,0,8,0.3600937499997354,1473.6093750008065,0.0,0.0,4.674890625000017,0,0,0.3600937499997354,228.6328124997965,-107.34375000006935,0,0,349.93981417410714,0.00025963783264160156,1526297670.4547853
0,0.008636953125119085,-0.008020664062485139,-0.034984374999752044,112.2892968749909,-1766.0058593751273,-78.29515625011823,0,-900,1451.132812498205,0,9,0.3687307031248545,1451.132812498205,0.0,0.0,4.657398437500141,0,0,0.3687307031248545,233.99414062487267,-121.70484374988177,0,0,349.93179351004466,0.005791902542114258,1526297670.4722033
0,0.002722265625118514,-0.007419902343769991,-0.026129140624995217,103.87863281258092,-1761.075253906256,-64.95388671883688,0,-900,1416.1891406244733,0,10,0.371452968749973,1416.1891406244733,0.0,0.0,4.644333867187643,0,0,0.371452968749973,238.92474609374403,-135.04611328116312,0,0,349.9243736077009,0.001486063003540039,1526297670.484505
0,-0.001967666015721403,-0.006861642020112413,-0.015786835937616095,96.06298828117588,-1756.5072851563173,-52.57027343749314,0,-900,1372.4291601565615,0,11,0.3694853027342516,1372.4291601565615,0.0,0.0,4.636440449218835,0,0,0.3694853027342516,243.49271484368273,-147.42972656250686,0,0,349.9175119656808,0.003748655319213867,1526297670.4989688
0,-0.005654062792986081,-0.006343503745824819,-0.005925751953086533,88.80905244134851,-1752.2693896485464,-41.07844208989491,0,-900,1322.4836132806838,0,12,0.36383123994126554,1322.4836132806838,0.0,0.0,4.633477573242292,0,0,0.36383123994126554,247.7306103514536,-158.9215579101051,0,0,349.91116846193495,0.004642009735107422,1526297670.514242
0,-0.008507410693456452,-0.00586305559778566,0.0026911868164425368,82.08277836899924,-1748.3369579347539,-30.419736303753098,0,-900,1268.2626468743795,0,13,0.3553238292478091,1268.2626468743795,0.0,0.0,4.634823166650513,0,0,0.3553238292478091,251.66304206524615,-169.5802636962469,0,0,349.90530540633716,0.0027968883514404297,1526297670.527915
0,-0.01067115109865785,-0.005417795934192782,0.009853004101678053,75.84914307849999,-1744.6891735597205,-20.538316638220522,0,-900,1211.2841184802096,0,14,0.34465267814915124,1211.2841184802096,0.0,0.0,4.639749668701352,0,0,0.34465267814915124,255.31082644027947,-179.46168336177948,0,0,349.89988761040297,0.002924203872680664,1526297670.5427682
