I_21,I_23,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_lower_v2,dif_myu_upper_p2,dif_myu_upper_v2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_lower_v2,myu_upper_p2,myu_upper_v2,original_generated_power2,original_lambda2,original_voltage2,line21,line23,voltage2,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,350,0,1523791500.2223442
0,0,4,0,-1000,-1000,0,-25,-20000,-25,0,0,1,0.0,0,0,0,2.0,0,0,0,0,0.0,350.0,0,0,350.0,0.0005822181701660156,1523791510.2370775
0.0,0.0,2.0,0.0,-1000.0,-1000.0,0,-25.0,-20000,-25.0,0.0,0,2,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,350.0,0,0,350.0,0.003343343734741211,1523791510.2606301
0.0,71.42857142857167,1.0,25000.000000000084,-1000.0,-928.5714285714283,0,-25.0,-20000,-25.0,0.0,0,3,1.2500000000000042,0.0,0.0,0.0,3.5,0,0,0,0,1.2500000000000042,348.2142857142857,0,0,348.2142857142857,0.0008103847503662109,1523791510.2736216
-17.857142857142776,90.01457725947546,-0.7500000000000042,25126.249479383703,-982.1428571428572,-909.9854227405245,0,-23.214285714285722,-20000,-26.785714285714278,8795.553935860089,0,4,2.3806617034569024,25.000000000000085,0.0,0.0,3.124999999999998,0,0,0,0,2.3806617034569024,345.791299756054,0,0,345.791299756054,0.0004520416259765625,1523791510.2851129
-39.37654325578649,87.37503498602962,-1.5056617034569002,16597.460841730983,-960.6234567442135,-912.6249650139704,0,-20.791299756054002,-20000,-29.208700243945998,14631.508838043632,0,5,3.001513190714257,42.000989171178865,0.0,0.0,2.3721691482715475,0,0,0,0,3.001513190714257,343.5606590646416,0,0,343.5606590646416,0.0002601146697998047,1523791510.2958572
-51.562904275681944,83.24876125003925,-1.3736823389858044,10886.013905138167,-948.437095724318,-916.7512387499607,0,-18.560659064641584,-20000,-31.439340935358416,14962.076584863233,0,6,3.332069934758833,43.386487501549595,0.0,0.0,1.6853279787786453,0,0,0,0,3.332069934758833,341.7143668867843,0,0,341.7143668867843,0.0023813247680664062,1523791510.3088994
-52.415108305553986,83.23918334520044,-1.0173979135374784,10533.02928704352,-947.584891694446,-916.7608166547996,0,-16.71436688678432,-20000,-33.28563311321568,12593.938256289697,0,7,3.678807995449728,36.77060678406552,0.0,0.0,1.176629022009906,0,0,0,0,3.678807995449728,340.0624406336891,0,0,340.0624406336891,0.0002002716064453125,1523791510.3199513
-47.26085806863182,85.07092988539625,-0.855437017459634,12857.785302543976,-952.7391419313682,-914.9290701146037,0,-15.062440633689107,-20000,-34.93755936631089,10618.389846417196,6427.3757384367855,8,4.0,31.064669916008576,0.0,0.0,0.7489105132800891,0,0,0,6427.3757384367855,4.0,338.38557098019186,0,0,338.38557098019186,0.0021088123321533203,1523791510.3332064
-41.783875310171084,85.62029640620551,-0.7489105132800891,8406.236643872951,-958.2161246898289,-914.3797035937945,-6427.3757384367855,-13.385570980191858,-13572.624261563215,-36.61442901980814,9022.020598044448,10629.205200287826,9,4.0,26.371106276914063,0.0,0.0,0,0,0,0,10629.205200287826,4.0,337.140695462912,0,0,337.140695462912,0.00024366378784179688,1523791510.34428
