delta_generated_power6,delta_lambda6,delta_voltage6,dif_generated_power6,dif_lambda6,dif_myu_61,dif_myu_62,dif_myu_65,dif_myu_lower_p6,dif_myu_upper_p6,dif_voltage6,generated_power6,iteration6,lambda6,modified_dif_voltage6,myu61,myu62,myu65,myu_lower_p6,myu_upper_p6,original_generated_power6,original_lambda6,P_61,P_62,P_65,line61,line62,line65,voltage6,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1527588957.2764456
-100,0.0,0.0,0,0,-150,-2000,-1000,-100,100,0,-100,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-100,0.0,0,0,0,0,0,0,350.0,0.0017504692077636719,1527588967.2902381
0,0.0,-0.0047619047618923105,0.0,100.0,-150.0,-2000.0,-1000.0,0,0,0.0,-100,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100,0.0,0.0,0.0,0.0,0,0,0,349.9952380952381,0.007052898406982422,1527588967.3137648
0,0.0,-0.0035714285714334437,0.0,75.00000000016485,-133.3333333333769,-1983.333333333377,-991.666666666589,0,0,0.0,-100,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100,0.0,-16.666666666623087,-16.666666666623087,8.33333333341102,0,0,0,349.9916666666667,0.0006458759307861328,1527588967.330512
0,0.055555555555410294,-0.0032076719576821233,0.0,67.36111111118817,-124.9999999999659,-1973.6111111110972,-981.249999999875,0,0,-1166.666666663616,-100,4,0.055555555555410294,-1166.666666663616,0.0,0.0,0.0,0.0,0.0,-100,0.055555555555410294,-25.000000000034106,-26.388888888902784,18.750000000125056,0,0,0,349.988458994709,0.005644798278808594,1527588967.3470504
0,0.10995370370401032,-0.0030505952381076895,-0.055555555555410294,64.0624999999261,-119.6759259259693,-1967.5925925924673,-973.2060185185105,0,0,-2309.0277777842166,-100,5,0.16550925925942062,-2309.0277777842166,0.0,0.0,0.0,0,0.027777777777705147,-100,0.16550925925942062,-30.324074074030705,-32.40740740753267,26.79398148148948,0,0,0,349.9854083994709,0.016092777252197266,1527588967.3739574
0,0.15422453703733952,-0.002979864785402242,-0.13773148148171546,62.57716049350961,-116.05902777767483,-1963.7924382714687,-967.2743055556339,0,0,-3238.7152777841297,-100,6,0.31973379629676013,-3238.7152777841297,0.0,0.0,0.0,0,0.09664351851856287,-100,0.31973379629676013,-33.94097222232517,-36.207561728531346,32.72569444436613,0,0,0,349.9824285346855,0.018053531646728516,1527588967.4033275
0,0.18782150205826786,-0.002953111221358995,-0.22309027777819726,62.01533564820352,-113.54809670779673,-1961.3779578189394,-962.9107188785326,0,0,-3944.2515432236246,-100,7,0.507555298355028,-3944.2515432236246,0.0,0.0,0.0,0,0.20818865740766151,-100,0.507555298355028,-36.45190329220327,-38.62204218106058,37.089281121467366,0,0,0,349.9794754234641,0.014065027236938477,1527588967.429151
0,0.21240770211797377,-0.002949347605976982,-0.2993666409473665,61.93629972557915,-111.78264853392648,-1959.8409100650827,-959.68725887343,0,0,-4460.561744477448,-100,8,0.7199630004730018,-4460.561744477448,0.0,0.0,0.0,0,0.3578719778813447,-100,0.7199630004730018,-38.217351466073524,-40.15908993491735,40.31274112657002,0,0,0,349.97652607585815,0.013512849807739258,1527588967.4538653
0,0.22991231701200543,-0.002956981685088067,-0.36209102259165704,62.09661538730984,-110.5288351623642,-1958.861846993642,-957.2940667686964,0,0,-4828.158657252114,-100,9,0.9498753174850072,-4828.158657252114,0.0,0.0,0.0,0,0.5389174891771733,-100,0.9498753174850072,-39.4711648376358,-41.138153006357925,42.70593323130356,0,0,0,349.97356909417306,0.013462305068969727,1527588967.4785469
0,0.24205635023105887,-0.0029695094387420795,-0.4109578283078339,62.3596982140441,-109.63044343173465,-1958.2380920699904,-955.508837287681,0,0,-5083.183354852237,-100,10,1.191931667716066,-5083.183354852237,0.0,0.0,0.0,0,0.7443964033310903,-100,1.191931667716066,-40.36955656826535,-41.761907930009556,44.49116271231901,0,0,0,349.9705995847343,0.014545679092407227,1527588967.504486
0,0.2502561488878945,-0.002983366263379139,-0.4475352643849758,62.6506915312234,-108.9814616978174,-1957.840679184045,-954.171449350639,0,0,-5255.379126645785,-100,11,1.4421878166039606,-5255.379126645785,0.0,0.0,0.0,0,0.9681640355235781,-100,1.4421878166039606,-41.018538302182606,-42.15932081595497,45.82855064936098,0,0,0,349.96761621847094,0.013714790344238281,1527588967.5303645
0,0.2556251979774091,-0.002996703676217294,-0.47402378108038246,62.930777200426746,-108.50911872304323,-1957.5874711447625,-953.165812667379,0,0,-5368.129157525593,-100,12,1.6978130145813697,-5368.129157525593,0.0,0.0,0.0,0,1.2051759260637693,-100,1.6978130145813697,-41.49088127695677,-42.4125288552375,46.83418733262101,0,0,0,349.9646195147947,0.014061689376831055,1527588967.5554957
0,0.25900933687410643,-0.0030086630110872647,-0.49263708851760035,63.18192323329299,-108.16296428100145,-1957.4261410558051,-952.4071821035136,0,0,-5439.196074356238,-100,13,1.9568223514554761,-5439.196074356238,0.0,0.0,0.0,0,1.4514944703225696,-100,1.9568223514554761,-41.83703571899855,-42.57385894419485,47.592817896486395,0,0,0,349.96161085178363,0.013805627822875977,1527588967.5800977
0,0.2610333571047594,-0.0030189407546004077,-0.5053278811329065,63.39775584647214,-107.90769686564659,-1957.3233503201664,-951.8332913393408,0,0,-5481.700499199946,-100,14,2.2178557085602355,-5481.700499199946,0.0,0.0,0.0,0,1.7041584108890229,-100,2.2178557085602355,-42.092303134353415,-42.676649679833645,48.1667086606592,0,0,0,349.95859191102903,0.014735937118530273,1527588967.6060624
0,0.2621479226187864,-0.003027530174392723,-0.5136972976712126,63.57813366191181,-107.71839337186293,-1957.2578576348292,-951.3981173447803,0,0,-5505.10637499451,-100,15,2.480003631179022,-5505.10637499451,0.0,0.0,0.0,0,1.9610070597246292,-100,2.480003631179022,-42.28160662813707,-42.74214236517082,48.6018826552197,0,0,0,349.95556438085464,0.013773918151855469,1527588967.6313841
0,0.2626712868348422,-0.0030345701985083906,-0.5189965714543927,63.72597416893768,-107.5773054843637,-1957.2161292389865,-951.0674605544125,0,0,-5516.097023531685,-100,16,2.742674918013864,-5516.097023531685,0.0,0.0,0.0,0,2.2205053454518255,-100,2.742674918013864,-42.422694515636294,-42.78387076101353,48.93253944558751,0,0,0,349.95252981065613,0.017683744430541992,1527588967.6598635
0,0.26282374538967135,-0.0030402592905147685,-0.5221695725620386,63.84544510047476,-107.47168935724858,-1957.189542161501,-950.8157864182749,0,0,-5519.298653183101,-100,17,3.0054986634035354,-5519.298653183101,0.0,0.0,0.0,0,2.481590131732845,-100,3.0054986634035354,-42.52831064275142,-42.810457838498905,49.18421358172509,0,0,0,349.9494895513656,0.014117956161499023,1527588967.6853535
0,0.26275473112600967,-0.003044808320453285,-0.5239085316706906,63.940974728984656,-107.39232270224761,-1957.172602312994,-950.623950286257,0,0,-5517.849353646201,-100,18,3.268253394529545,-5517.849353646201,0.0,0.0,0.0,0,2.74354439756819,-100,3.268253394529545,-42.60767729775239,-42.82739768700594,49.37604971374299,0,0,0,349.94644474304516,0.01358652114868164,1527588967.711659
0,0.2625633936024503,-0.0030484164684025927,-0.5247089969613552,64.01674583592012,-107.3324828078853,-1957.1618091572986,-950.4775461292638,0,0,-5513.831265651454,-100,19,3.5308167881319954,-5513.831265651454,0.0,0.0,0.0,0,3.0058988960488673,-100,3.5308167881319954,-42.6675171921147,-42.83819084270135,49.52245387073617,0,0,0,349.94339632657676,0.014507293701171875,1527588967.7374897
0,0.26231382491734,-0.0030512604208752236,-0.5249178920831281,64.07646883824327,-107.28723605395771,-1957.1549323418083,-950.3656995575227,0,0,-5508.590323264136,-100,20,3.7931306130493354,-5508.590323264136,0.0,0.0,0.0,0,3.268357842090431,-100,3.7931306130493354,-42.71276394604229,-42.84506765819174,49.6343004424773,0,0,0,349.9403450661559,0.013405323028564453,1527588967.7620342
0,0.26204609161143644,-0.0030534909797665932,-0.5247727709589043,64.12331057516099,-107.2529396393179,-1957.1505508069436,-950.2801798711005,0,0,-5502.967923840166,-100,21,4.055176704660772,-5502.967923840166,0.0,0.0,0.0,0,3.5307442275698833,-100,4.055176704660772,-42.7470603606821,-42.849449193056444,49.71982012889953,0,0,0,349.9372915751761,0.013794183731079102,1527588967.7870696
0,0.26178408852738233,-0.0030552335830975608,-0.5244324770908886,64.15990524451445,-107.22688909231124,-1957.1477591296684,-950.2147429774652,0,0,-5497.465859075026,-100,22,4.316960793188154,-5497.465859075026,0.0,0.0,0.0,0,3.7929604661153276,-100,4.316960793188154,-42.77311090768876,-42.85224087033157,49.78525702253478,0,0,0,349.934236341593,0.013854742050170898,1527588967.8119
0,0.25124291075184413,-0.0030565906955644095,-0.5240003270728266,64.18840460731303,-107.20706678773126,-1957.1459804238884,-950.1646426043067,0,0,-5276.101125788729,-100,23,4.568203703939998,-5276.101125788729,0.0,0.0,0.0,0,4.054960629651741,-100,4.568203703939998,-42.792933212268736,-42.85401957611157,49.835357395693336,0,0,0,349.93117975089746,0.015405416488647461,1527588967.838345
0,0.21753061756066217,-0.002807374545454877,-0.5132430742882574,58.9548654548139,-101.93628333956326,-1957.1448471288306,-950.12626501358,0,0,-4568.142968773907,-100,24,4.7857343215006605,-4568.142968773907,0.0,0.0,0.0,0,4.311582166795869,-100,4.7857343215006605,-48.06371666043674,-42.855152871169366,49.873734986420004,0,0,0,349.928372376352,0.014827251434326172,1527588967.8639646
0,0.18606495203226814,-0.0026404138255315956,-0.47415215470479133,55.44869033662394,-97.52547390049813,-1957.1441250543558,-949.2209086182299,0,0,-3907.363992677623,-100,25,4.971799273532929,-3907.363992677623,0.0,0.0,0.0,0,4.548658244148265,-100,4.971799273532929,-52.47452609950187,-42.855874945644246,50.77909138177006,0,0,0,349.92573196252647,0.017182350158691406,1527588967.8926277
0,0.16295406689202352,-0.002495246418334318,-0.4231410293846638,52.40017478488426,-93.21068994668167,-1957.143664987484,-947.9541801492815,0,0,-3422.035404732487,-100,26,5.134753340424952,-3422.035404732487,0.0,0.0,0.0,0,4.760228758840597,-100,5.134753340424952,-56.78931005331833,-42.856335012515956,52.045819850718544,0,0,0,349.92323671610814,0.013757944107055664,1527588967.917131
0,0.14522600734281532,-0.0023704493174250274,-0.374524581584355,49.77943566638601,-89.07477200892231,-1957.1433718578248,-946.4387082003611,0,0,-3049.746154199129,-100,27,5.2799793477677675,-3049.746154199129,0.0,0.0,0.0,0,4.947491049632775,-100,5.2799793477677675,-60.92522799107769,-42.85662814217517,53.561291799638866,0,0,0,349.9208662667907,0.01507878303527832,1527588967.9436874
0,0.13106327059787048,-0.0022601401337283278,-0.3324882981349928,47.46294280815846,-85.09161907007865,-1957.1431850914678,-944.771861353388,0,0,-2752.3286825552714,-100,28,5.411042618365638,-2752.3286825552714,0.0,0.0,0.0,0,5.113735198700271,-100,5.411042618365638,-64.90838092992135,-42.856814908532215,55.228138646612024,0,0,0,349.918606126657,0.014200687408447266,1527588967.9691494
0,0.11923289073827537,-0.002160798327224711,-0.29730741966536733,45.37676487198041,-81.2512959945991,-1957.14306609392,-943.0175972165387,0,0,-2503.8907055037853,-100,29,5.530275509103913,-2503.8907055037853,0.0,0.0,0.0,0,5.262388908532954,-100,5.530275509103913,-68.7487040054009,-42.85693390608003,56.98240278346134,0,0,0,349.91644532832976,0.01537775993347168,1527588967.9959154
0,0.10898894406218673,-0.0020698511427212907,-0.26788660057095903,43.46687399681173,-77.54441814861366,-1957.1429902751163,-941.2205344269182,0,0,-2288.7678253059203,-100,30,5.6392644531661,-2288.7678253059203,0.0,0.0,0.0,0,5.396332208818434,-100,5.6392644531661,-72.45558185138634,-42.85700972488371,58.77946557308178,0,0,0,349.91437547718704,0.013507604598999023,1527588968.020817
0,0.09987918204239854,-0.001985483856515202,-0.24293224434766625,41.69516098668282,-73.96359616583368,-1957.1429419673905,-939.4113771465413,0,0,-2097.4628228903675,-100,31,5.739143635208499,-2097.4628228903675,0.0,0.0,0.0,0,5.517798330992267,-100,5.739143635208499,-76.03640383416632,-42.85705803260953,60.58862285345867,0,0,0,349.9123899933305,0.013819694519042969,1527588968.0456717
0,0.091628769235089,-0.0019064057026412229,-0.22134530421623122,40.03451975493135,-70.50276320401281,-1957.1429111885266,-937.611154637608,0,0,-1924.204153936873,-100,32,5.830772404443588,-1924.204153936873,0.0,0.0,0.0,0,5.628470983100383,-100,5.830772404443588,-79.49723679598719,-42.85708881147343,62.388845362391976,0,0,0,349.9104835876279,0.015510797500610352,1527588968.0724878
0,0.08406796460164134,-0.0018316962151061489,-0.20230142134320417,38.4656205170927,-67.15685906851263,-1957.1428915778313,-935.8341301292512,0,0,-1765.4272566344735,-100,33,5.914840369045229,-1765.4272566344735,0.0,0.0,0.0,0,5.7296216937719855,-100,5.914840369045229,-82.84314093148737,-42.85710842216872,64.16586987074879,0,0,0,349.9086518914128,0.013781547546386719,1527588968.0975964
0,0.07708892292383585,-0.0017606948354682572,-0.18521867527324343,36.974591544498026,-63.92155958112653,-1957.142879082852,-934.0898471194805,0,0,-1618.8673814005524,-100,34,5.991929291969065,-1618.8673814005524,0.0,0.0,0.0,0,5.822231031408608,-100,5.991929291969065,-86.07844041887347,-42.857120917147995,65.91015288051949,0,0,0,349.9068911965773,0.013805627822875977,1527588968.122676
0,0.07062005053491927,-0.001692923197140317,-0.16969826056045711,35.55138714000918,-60.79307639859053,-1957.142871121789,-932.3845603803704,0,0,-1483.0210612332958,-100,35,6.062549342503984,-1483.0210612332958,0.0,0.0,0.0,0,5.907080161688836,-100,6.062549342503984,-89.20692360140947,-42.857128878210915,67.61543961962957,0,0,0,349.90519827338017,0.013695240020751953,1527588968.1477785
0,0.06461092775011856,-0.0016280304305382742,-0.15546918081514782,34.18863904156524,-57.76800890617437,-1957.1428660495087,-930.7222359141178,0,0,-1356.829482752495,-100,36,6.127160270254103,-1356.829482752495,0.0,0.0,0.0,0,5.98481475209641,-100,6.127160270254103,-92.23199109382563,-42.85713395049129,69.27776408588215,0,0,0,349.9035702429496,0.013632535934448242,1527588968.1728258
0,0.0590235255731022,-0.001565754801958974,-0.14234551815769247,32.88085084100203,-54.843236720751065,-1957.142862817733,-929.105248697482,0,0,-1239.4940370351542,-100,37,6.186183795827205,-1239.4940370351542,0.0,0.0,0.0,0,6.055987511175257,-100,6.186183795827205,-95.15676327924893,-42.857137182267024,70.89475130251799,0,0,0,349.90200448814767,0.014364004135131836,1527588968.1983755
0,0.05382714448018788,-0.0015058968766084035,-0.130196284651948,31.623834409236906,-52.01584273856383,-1957.1428607585801,-927.534869087907,0,0,-1130.3700340839496,-100,38,6.240010940307393,-1130.3700340839496,0.0,0.0,0.0,0,6.121085653501231,-100,6.240010940307393,-97.98415726143617,-42.85713924141987,72.46513091209295,0,0,0,349.90049859127106,0.014446020126342773,1527588968.2241
0,0.04899553446800198,-0.0014483007892636124,-0.11892528680616188,30.414316574200484,-49.28305881238657,-1957.1428594466909,-926.011601684877,0,0,-1028.9062238280458,-100,39,6.289006474775395,-1028.9062238280458,0.0,0.0,0.0,0,6.180548296904312,-100,6.289006474775395,-100.71694118761343,-42.85714055330914,73.98839831512305,0,0,0,349.8990502904818,0.014063596725463867,1527588968.2494276
0,0.04450527973313445,-0.001392841200527073,-0.10845817787108292,29.249665210534204,-46.6422279464723,-1957.1428586106947,-924.5354213466328,0,0,-934.6108743958175,-100,40,6.333511754508529,-934.6108743958175,0.0,0.0,0.0,0,6.234777385839854,-100,6.333511754508529,-103.3577720535277,-42.8571413893053,75.4645786533672,0,0,0,349.89765744928127,0.013844728469848633,1527588968.274743
0,0.0403349067857528,-0.001339414232575109,-0.09873436866867547,28.127698883542962,-44.09077840474538,-1957.1428580779013,-923.1059375991038,0,0,-847.0330425008142,-100,41,6.373846661294282,-847.0330425008142,0.0,0.0,0.0,0,6.284144570174192,-100,6.373846661294282,-105.90922159525462,-42.85714192209866,76.89406240089625,0,0,0,349.8963180350487,0.013505220413208008,1527588968.2998295
0,0.036464399448039586,-0.0012879311812525884,-0.08970209112009009,27.046554806565837,-41.62620630926881,-1957.1428577386882,-921.7225092413912,0,0,-765.7523884088296,-100,42,6.4103110607423215,-765.7523884088296,0.0,0.0,0.0,0,6.328995615734237,-100,6.4103110607423215,-108.37379369073119,-42.857142261311765,78.27749075860879,0,0,0,349.89503010386744,0.013512134552001953,1527588968.325663
0,0.03287493768240779,-0.0012383141626628458,-0.08131544500808463,26.004597415783337,-39.24606422318675,-1957.1428575226264,-920.3843243300298,0,0,-690.373691330562,-100,43,6.443185998424729,-690.373691330562,0.0,0.0,0.0,0,6.36965333823828,-100,6.443185998424729,-110.75393577681325,-42.8571424773736,79.61567566997019,0,0,0,349.8937917897048,0.013968944549560547,1527588968.350857
0,0.029548755945719485,-0.0011904931037634015,-0.07353266018644966,25.000355178696054,-36.947953900914854,-1957.1428573847527,-919.0904561069715,0,0,-620.5238748601114,-100,44,6.472734754370449,-620.5238748601114,0.0,0.0,0.0,0,6.4064196683315044,-100,6.472734754370449,-113.05204609908515,-42.85714261524731,80.90954389302851,0,0,0,349.892601296601,0.015794754028320312,1527588968.3774009
0,0.02646906271886529,-0.0011444036663306179,-0.06631508603894432,24.032476993403407,-34.729521904034755,-1957.1428572970149,-917.8399022076462,0,0,-555.8503170961776,-100,45,6.499203817089314,-555.8503170961776,0.0,0.0,0.0,0,6.439577211350977,-100,6.499203817089314,-115.27047809596525,-42.85714270298513,82.16009779235378,0,0,0,349.8914568929347,0.015394449234008789,1527588968.404306
0,0.02361998944073118,-0.001099985816381377,-0.059626605738337446,23.099702143474588,-32.58845714980794,-1957.1428572411094,-916.6316122474427,0,0,-496.0197782553587,-100,46,6.522823806530045,-496.0197782553587,0.0,0.0,0.0,0,6.469390514220145,-100,6.522823806530045,-117.41154285019206,-42.85714275889063,83.36838775255728,0,0,0,349.8903569071183,0.013852119445800781,1527588968.4291015
0,0.0209865521539232,-0.0010571828394176919,-0.053433292309899905,22.200839627635105,-30.52248973974656,-1957.142857205298,-915.4645073174095,0,0,-440.7175952323887,-100,47,6.543810358683968,-440.7175952323887,0.0,0.0,0.0,0,6.496107160375095,-100,6.543810358683968,-119.47751026025344,-42.857142794701986,84.53549268259053,0,0,0,349.8892997242789,0.01630234718322754,1527588968.4566615
0,0.018554617550022634,-0.0010159406645584568,-0.047703198308873596,21.334753956188024,-28.52939061184543,-1957.1428571826175,-914.3374938382749,0,0,-389.6469685504708,-100,48,6.562364976233991,-389.6469685504708,0.0,0.0,0.0,0,6.519958759529532,-100,6.562364976233991,-121.47060938815457,-42.85714281738251,85.6625061617251,0,0,0,349.8882837836143,0.013879776000976562,1527588968.481713
0,0.01631086969060558,-0.0009762073993329068,-0.04240621670445943,20.50035538585462,-26.606971689795955,-1957.142857168293,-913.2494734722343,0,0,-342.5282635027106,-100,49,6.578675845924597,-342.5282635027106,0.0,0.0,0.0,0,6.541161867881762,-100,6.578675845924597,-123.39302831020404,-42.85714283170705,86.75052652776571,0,0,0,349.887307576215,0.014386177062988281,1527588968.50763
0,0.014242776025344739,-0.0009379330101069172,-0.03751397804283485,19.696593211710933,-24.7530863210784,-1957.1428571589422,-912.1993502683097,0,0,-299.09829653224733,-100,50,6.592918621949941,-299.09829653224733,0.0,0.0,0.0,0,6.559918856903179,-100,6.592918621949941,-125.2469136789216,-42.857142841057794,87.80064973169033,0,0,0,349.8863696432049,0.013974428176879883,1527588968.5329525
0,0.012338552498191824,-0.0009010691021558159,-0.032999765046762164,18.92245114513571,-22.965629848749813,-1957.1428571529736,-911.1860358565878,0,0,-259.1096024620201,-100,51,6.605257174448133,-259.1096024620201,0.0,0.0,0.0,0,6.57641873942656,-100,6.605257174448133,-127.03437015125019,-42.85714284702635,88.81396414341225,0,0,0,349.88546857410273,0.013683080673217773,1527588968.557735
0,0.010587128018953784,-0.000865568767210334,-0.028838435021572906,18.17694411108164,-21.242540220833916,-1957.1428571493925,-910.2084532591448,0,0,-222.32968839803652,-100,52,6.615844302467087,-222.32968839803652,0.0,0.0,0.0,0,6.590837956937347,-100,6.615844302467087,-128.75745977916608,-42.85714285060749,89.79154674085521,0,0,0,349.8846030053355,0.013939142227172852,1527588968.582547
0,0.008978108774537752,-0.0008313864766478218,-0.025006345529740237,17.45911601006469,-19.58179857404616,-1957.142857147005,-909.2655397109866,0,0,-188.5402842652984,-100,53,6.624822411241625,-188.5402842652984,0.0,0.0,0.0,0,6.603341129702217,-100,6.624822411241625,-130.41820142595384,-42.85714285299491,90.73446028901344,0,0,0,349.8837716188589,0.014667034149169922,1527588968.6085885
0,0.007501742820632096,-0.0007984780062884056,-0.021481281539407426,16.768038132317997,-17.981429750869893,-1957.1428571456124,-908.3562487641643,0,0,-157.53659923328087,-100,54,6.632324154062257,-157.53659923328087,0.0,0.0,0.0,0,6.6140817704719215,-100,6.632324154062257,-132.0185702491301,-42.857142854387575,91.64375123583568,0,0,0,349.8829731408526,0.014734268188476562,1527588968.63486
0,0.006148885336559218,-0.0007668003810294977,-0.018242383590335365,16.102808001483027,-16.439502725910415,-1957.1428571446177,-907.479551869045,0,0,-129.1265920677397,-100,55,6.638473039398816,-129.1265920677397,0.0,0.0,0.0,0,6.623202962267089,-100,6.638473039398816,-133.56049727408958,-42.857142855382335,92.52044813095495,0,0,0,349.88220634047155,0.013592720031738281,1527588968.6597342
0,0.004910964861847944,-0.0007363118338616914,-0.0152700771317269,15.462548510561192,-14.954130932176213,-1957.1428571440208,-906.6344395656358,0,0,-103.130262098799,-100,56,6.643384004260664,-103.130262098799,0.0,0.0,0.0,0,6.630838000832952,-100,6.643384004260664,-135.0458690678238,-42.85714285597919,93.36556043436417,0,0,0,349.8814700286377,0.013786554336547852,1527588968.6850235
0,0.0037799507129827603,-0.0007069717732974823,-0.012546003427711838,14.846407239309656,-13.523472477140785,-1957.142857143424,-905.8199223812551,0,0,-79.37896497263864,-100,57,6.647163954973647,-79.37896497263864,0.0,0.0,0.0,0,6.637111002546808,-100,6.647163954973647,-136.47652752285921,-42.85714285657605,94.18007761874492,0,0,0,349.8807630568644,0.013493776321411133,1527588968.709932
0,0.0027483217337191945,-0.0006787407569959214,-0.01005295242683868,14.253555896380021,-12.145730254752607,-1957.142857143225,-905.0350315015976,0,0,-57.71475640810968,-100,58,6.649912276707366,-57.71475640810968,0.0,0.0,0.0,0,6.642137478760228,-100,6.649912276707366,-137.8542697452474,-42.857142856775,94.96496849840241,0,0,0,349.8800843161074,0.013137578964233398,1527588968.7343073
0,0.0018090364442322482,-0.0006515804680020665,-0.00777479794713809,13.683189828105924,-10.819151951005779,-1957.142857143026,-904.2788192659259,0,0,-37.989765328879,-100,59,6.651721313151598,-37.989765328879,0.0,0.0,0.0,0,6.646024877733797,-100,6.651721313151598,-139.18084804899422,-42.85714285697395,95.7211807340741,0,0,0,349.8794327356394,0.014903783798217773,1527588968.760148
0,0.0009555046503058051,-0.0006254536942265077,-0.005696435417800849,13.134527578620236,-9.542029953615838,-1957.142857143026,-903.5503595180217,0,0,-20.065597656430327,-100,60,6.652676817801904,-20.065597656430327,0.0,0.0,0.0,0,6.648873095442697,-100,6.652676817801904,-140.45797004638416,-42.85714285697395,96.44964048197835,0,0,0,349.87880728194517,0.01492619514465332,1527588968.7862656
0,0.00018156049036299748,-0.0006003243079248932,-0.003803722359206674,12.60681046588843,-8.312701167392333,-1957.142857142827,-902.848747844331,0,0,-3.8127702976198634,-100,61,6.652858378292267,-3.8127702976198634,0.0,0.0,0.0,0,6.650774956622301,-100,6.652858378292267,-141.68729883260767,-42.8571428571729,97.151252155669,0,0,0,349.87820695763725,0.014988183975219727,1527588968.8128827
0,-0.0005185630817292619,-0.0005761572464280107,-0.0020834216699663344,12.099302175050752,-7.129546746449478,-1957.142857142827,-902.1731017142258,0,0,10.88982471631607,-100,62,6.652339815210538,10.88982471631607,0.0,0.0,0.0,0,6.651816667457284,-100,6.652339815210538,-142.87045325355052,-42.8571428571729,97.82689828577418,0,0,0,349.8776308003908,0.014056205749511719,1527588968.8377798
0,-0.0011502584283231698,-0.0005529184928718678,-0.0005231477532534612,11.611288350371751,-5.990991748427632,-1957.142857142827,-901.522560540883,0,0,24.15542699479556,-100,63,6.651189556782215,24.15542699479556,0.0,0.0,0.0,0,6.652078241333911,-100,6.651189556782215,-144.00900825157237,-42.8571428571729,98.47743945911702,0,0,0,349.87707788189795,0.01653456687927246,1527588968.8650649
0,-0.001718566003788169,-0.0005305750563593392,0.0008886845516959951,11.142076184006555,-4.895504716495225,-1957.142857142827,-900.8962856753158,0,0,36.08988607955689,-100,64,6.649470990778426,36.08988607955689,0.0,0.0,0.0,0.00044434227584799757,6.651633899058062,-100,6.649470990778426,-145.10449528350478,-42.8571428571729,99.10371432468423,0,0,0,349.8765473068416,0.019097089767456055,1527588968.8955579
0,-0.0022281958544461133,-0.0005090949526902477,0.0017185660037872807,10.690994006756682,-3.841597201864033,-1957.142857142827,-900.2934603379344,0,0,46.7921129433671,-100,65,6.64724279492398,46.7921129433671,0.0,0.0,0.0,0.001303625277741638,6.650774616056168,-100,6.64724279492398,-146.15840279813597,-42.8571428571729,99.70653966206555,0,0,0,349.8760382118889,0.013713598251342773,1527588968.920479
