delta_generated_power2,delta_lambda2,delta_voltage2,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_26,dif_myu_lower_p2,dif_myu_upper_p2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu26,myu_lower_p2,myu_upper_p2,original_generated_power2,original_lambda2,P_21,P_23,P_26,line21,line23,line26,voltage2,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1527588957.2720287
0,0.0,0.0,0,0,-1000,-100,-2000,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,350.0,0.0008769035339355469,1527588967.27819
0,0.0,0.0,0.0,0.0,-1000.0,-100.0,-2000.0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,350.0,0.018489599227905273,1527588967.3151631
0,0.16666666666623087,-0.0007936507936392445,0.0,16.666666666623087,-1000.0,-100.0,-1983.333333333377,0,0,0.0,0,3,0.16666666666623087,0.0,0.0,0.0,0.0,0.0,0.0,0,0.16666666666623087,0.0,0.0,16.666666666623087,0,0,0,349.99920634920636,0.0005753040313720703,1527588967.3276424
0,0.2986111111127343,-0.0014880952380735835,-0.16666666666623087,31.25000000014211,-998.6111111111313,-96.52777777762935,-1973.6111111110972,0,0,291.66666666242236,0,4,0.4652777777789652,291.66666666242236,0.0,0.0,0.0,0,0.08333333333311543,0,0.4652777777789652,1.388888888868678,3.4722222223706467,26.388888888902784,0,0,0,349.9977182539683,0.008094310760498047,1527588967.3466408
0,0.333912037039915,-0.0019648368606794975,-0.38194444444584974,41.2615740744684,-997.916666666498,-93.22916666656624,-1967.5925925924673,0,0,1652.7777778001491,0,5,0.7991898148188802,1652.7777778001491,0.0,0.0,0.0,0,0.2743055555560403,0,0.7991898148188802,2.083333333501969,6.770833333433757,32.40740740753267,0,0,0,349.9957534171076,0.016132116317749023,1527588967.3735197
0,0.33680555555607017,-0.002290013227536747,-0.5248842592628399,48.09027777807273,-997.7334104937938,-90.38387345666479,-1963.7924382714687,0,0,3026.041666717798,0,6,1.1359953703749504,3026.041666717798,0.0,0.0,0.0,0,0.5367476851874602,0,1.1359953703749504,2.2665895062061736,9.616126543335213,36.207561728531346,0,0,0,349.99346340388007,0.018028974533081055,1527588967.4024243
0,0.32937885802340094,-0.002513954720257061,-0.5992476851874902,52.793049125597236,-997.8298611111427,-87.99913194432065,-1961.3779578189394,0,0,4169.584297884001,0,7,1.4653742283983513,4169.584297884001,0.0,0.0,0.0,0,0.8363715277812053,0,1.4653742283983513,2.170138888857309,12.000868055679348,38.62204218106058,0,0,0,349.9909494491598,0.014529228210449219,1527588967.4275029
0,0.3191195934076405,-0.0026696152998511025,-0.629002700617146,56.06192129647525,-998.0582615311562,-86.03890710728592,-1959.8409100650827,0,0,5071.492010699358,0,8,1.7844938218059918,5071.492010699358,0.0,0.0,0.0,0,1.1508728780897783,0,1.7844938218059918,1.9417384688438233,13.961092892714078,40.15908993491735,0,0,0,349.98827983385996,0.014712810516357422,1527588967.4528081
0,0.3088711013389751,-0.0027787659926161723,-0.6336209437162135,58.354085844541714,-998.3330118312779,-84.45105533053834,-1958.861846993642,0,0,5768.06489923528,0,9,2.093364923144967,5768.06489923528,0.0,0.0,0.0,0,1.467683349947885,0,2.093364923144967,1.6669881687221277,15.548944669461662,41.138153006357925,0,0,0,349.98550106786735,0.014042854309082031,1527588967.4780905
