I_21,I_23,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_lower_v2,dif_myu_upper_p2,dif_myu_upper_v2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_lower_v2,myu_upper_p2,myu_upper_v2,original_generated_power2,original_lambda2,original_voltage2,line21,line23,voltage2,time step,current time
-15.8344548565276,-12.340579361466553,-0.2659263473048723,40907.02748295289,-984.1655451434724,-987.6594206385334,0,2.268448134134701,0,-52.2684481341347,-8898.40787553541,-50000,25,3.194109758571048,-20.988547305291803,0.0,0.0,0,2149.6002638712525,2.934026472410963,0,-50000,3.194109758571048,322.7136700280416,0,0,322.7136700280416,0.0020318031311035156,1523791754.333853
-18.034749112836153,-12.891236753895328,-0.2600832861600848,40019.76160171174,-981.9652508871638,-987.1087632461047,0,2.2863299719584234,0,-52.28632997195842,-8699.480461810717,-50000,26,3.3183880508826293,-19.592957926259956,0.0,0.0,0,2378.2332610670946,3.0640681154910054,0,-50000,3.3183880508826293,322.7628370614356,0,0,322.7628370614356,0.00023674964904785156,1523791754.3445606
-17.96064753572807,-12.338562748236654,-0.2543199353916239,40220.540928026516,-982.0393524642719,-987.6614372517633,0,2.2371629385643814,0,-52.23716293856438,-8539.039055386907,-50000,27,3.4403743231024424,-18.38254760598258,0.0,0.0,0,2601.9495549235326,3.191228083186817,0,-50000,3.4403743231024424,322.73703558052574,0,0,322.73703558052574,0.001613616943359375,1523791754.3570502
-19.79833246818032,-12.981587347251207,-0.24914623991562523,39420.70585220029,-980.2016675318197,-987.0184126527488,0,2.262964419474258,0,-52.26296441947426,-8389.887167540248,-50000,28,3.560229854067303,-17.154224280692063,0.0,0.0,0,2828.245996870958,3.3158012031446296,0,-50000,3.560229854067303,322.7835129510957,0,0,322.7835129510957,0.00028133392333984375,1523791754.3685179
-19.51731195241166,-12.353416077747283,-0.24442865092267363,39712.65444611634,-980.4826880475883,-987.6465839222527,0,2.2164870489042983,0,-52.2164870489043,-8275.009305204661,-50000,29,3.678444272713084,-16.099922990882575,0.0,0.0,0,3049.894701761388,3.438015528605966,0,-50000,3.678444272713084,322.7544539185063,0,0,322.7544539185063,0.002241849899291992,1523791754.3812308
-21.179942333989743,-13.009133153935863,-0.2404287441071178,38965.323610915984,-978.8200576660103,-986.9908668460641,0,2.2455460814937283,0,-52.24554608149373,-8162.084075658541,-50000,30,3.79504547379392,-14.991378871581617,0.0,0.0,0,3274.4493099107613,3.558229900659525,0,-50000,3.79504547379392,322.79976860462443,0,0,322.79976860462443,0.0002779960632324219,1523791754.391883
-20.773761459014963,-12.344970936346726,-0.23681557313439505,39309.28084629877,-979.226238540985,-987.6550290636533,0,2.2002313953755674,0,-52.20023139537557,-8077.058793698341,-50000,31,3.9104320279896108,-14.040205792020785,0.0,0.0,0,3494.472449448318,3.6766376872267226,0,-50000,3.9104320279896108,322.7691269962428,0,0,322.7691269962428,0.0031995773315429688,1523791754.4054418
-22.345971802511144,-12.998682157939356,-0.2337943407628882,38591.836897201094,-977.6540281974889,-987.0013178420606,0,2.2308730037572104,0,-52.23087300375721,-7988.998968592784,-50000,32,4.024560584683793,-13.013474383371843,0.0,0.0,0,3717.559749824039,3.793534857608167,0,-50000,4.024560584683793,322.8140830050994,0,0,322.8140830050994,0.00022673606872558594,1523791754.4160366
-21.896162133672874,-12.311650528633322,-0.23102572707562619,38957.236323807396,-978.1038378663271,-987.6883494713667,0,2.1859169949005945,0,-52.185916994900595,-7923.723956780117,-50000,33,4.137756641209223,-12.131197117273956,0.0,0.0,0,3936.1514493140985,3.90904772114598,0,-50000,4.137756641209223,322.78332054521235,0,0,322.78332054521235,0.00173187255859375,1523791754.4284904
-23.39251704247374,-12.955664352224403,-0.22870892006324306,38267.41331363963,-976.6074829575263,-987.0443356477756,0,2.216679454787652,0,-52.21667945478765,-7852.130920396803,-50000,34,4.249929940072034,-11.159682115141536,0.0,0.0,0,4157.819394792864,4.023402181177602,0,-50000,4.249929940072034,322.8274798290541,0,0,322.8274798290541,0.00021386146545410156,1523791754.4391758
