I_32,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_lower_p3,dif_myu_lower_v3,dif_myu_upper_p3,dif_myu_upper_v3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu_lower_p3,myu_lower_v3,myu_upper_p3,myu_upper_v3,original_generated_power3,original_lambda3,original_voltage3,line32,voltage3,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,350,0,1523791500.2230525
0,0,0,-1000,-50000,-25,50000,-25,0,-50000,1,0.0,0,0,0,0,0.0,0,-50000,0.0,350.0,0,350.0,0.0003902912139892578,1523791510.236103
0.0,0.0,50000.0,-1000.0,0,-25.0,0,-25.0,0.0,-50000,2,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,342.85714285714283,0,342.85714285714283,0.004178762435913086,1523791510.252931
-71.42857142857167,0.0,25510.20408163257,-928.5714285714283,0,-17.857142857142833,0,-32.14285714285717,0.0,-50000,3,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,339.2128279883382,0,339.2128279883382,0.0009710788726806641,1523791510.2647831
-90.01457725947546,0.0,19465.900687638576,-909.9854227405245,0,-14.212827988338177,0,-35.78717201166182,-4352.678571428586,-50000,4,0.12436224489795962,-12.500000000000043,0.0,0,0,0.0,0,-50000,0.12436224489795962,337.05379625745104,0,337.05379625745104,0.008371829986572266,1523791510.2840755
-87.37503498602962,-0.12436224489795962,20549.912759831117,-912.6249650139704,0,-12.05379625745104,0,-37.94620374254896,-7823.819535137579,-50000,5,0.3478999459018905,-22.562994585589426,0.0,0,0,0.06218112244897981,0,-50000,0.3478999459018905,335.23578293963766,0,335.23578293963766,0.0015139579772949219,1523791510.296799
-83.24876125003925,-0.28571882345291066,22092.036343588123,-916.7512387499607,0,-10.235782939637659,0,-39.76421706036234,-9174.695631974564,-50000,6,0.6100341068154496,-26.536132448123663,0.0,0,0,0.20504053417543514,0,-50000,0.6100341068154496,333.3904485522643,0,333.3904485522643,0.00012922286987304688,1523791510.3075879
-83.23918334520044,-0.40499357264001445,22248.85132741946,-916.7608166547996,0,-8.390448552264274,0,-41.609551447735726,-9403.144977616244,-50000,7,0.8786953918901994,-27.220358279433835,0.0,0,0,0.40753732049544233,0,-50000,0.8786953918901994,331.5553476451495,0,331.5553476451495,0.001920938491821289,1523791510.320606
-85.07092988539625,-0.47115807139475707,21794.27826735131,-914.9290701146037,0,-6.555347645149482,0,-43.44465235485052,-9671.634128304293,-50000,8,1.1550277955560364,-28.001126035595284,0.0,0,0,0.6431163561928208,0,-50000,1.1550277955560364,329.8235413395713,0,329.8235413395713,0.0001270771026611328,1523791510.3317542
-85.62029640620551,-0.5119114393632156,21760.41062876153,-914.3797035937945,0,-4.823541339571307,0,-45.17645866042869,-9824.763082661286,-50000,9,1.4357353122035017,-28.449722044439635,0.0,0,0,0.8990720758744286,0,-50000,1.4357353122035017,328.11844883298556,0,328.11844883298556,0.0023512840270996094,1523791510.34551
-90.22246629926428,-0.5366632363290731,20396.344307999087,-909.7775337007357,0,-3.118448832985564,0,-46.881551167014436,-8904.250963586872,-50000,10,1.690142482591698,-25.642646877964985,0.0,0,0,1.1674036940389652,0,-50000,1.690142482591698,326.47672121235524,0,326.47672121235524,0.00012493133544921875,1523791510.3562768
-96.10905086920809,-0.5227387885527328,18622.632193389483,-903.8909491307919,0,-1.476721212355244,0,-48.523278787644756,-8088.02128082418,-50000,11,1.9212288049009603,-23.09857517408302,0.0,0,0,1.4287730883153316,0,-50000,1.9212288049009603,324.97177679627447,0,324.97177679627447,0.0011448860168457031,1523791510.3680806
-101.67522753147352,-0.4924557165856287,16958.420652931563,-898.3247724685265,0,0.02822320372553122,0,-50.02822320372553,-7357.461974246719,-50000,12,2.131442004165152,-20.7877119509904,0.0,0,2.822320372553122,1.675000946608146,0,-50000,2.131442004165152,323.6284344744736,0,323.6284344744736,0.000152587890625,1523791510.3785508
-106.90875979581392,-0.45644105755700615,15401.285435673199,-893.0912402041861,0,1.371565525526421,0,-51.37156552552642,-6705.5121699657275,-50000,13,2.3230280661641727,-18.68557995834848,0.0,0,139.97887292519522,1.903221475386649,0,-50000,2.3230280661641727,323.7577466763275,0,323.7577466763275,0.003615140914916992,1523791510.3933358
-95.3380804703238,-0.4198065907775237,19133.557894481582,-904.6619195296762,0,1.2422533236725144,0,-51.242253323672514,-6172.130776894579,-50000,14,2.499374659789732,-16.76971933835827,0.0,0,264.20420529244666,2.1131247707754106,0,-50000,2.499374659789732,323.1483675546304,0,323.1483675546304,0.00014519691467285156,1523791510.405028
-94.02145129930659,-0.38624988901432156,19617.121497511893,-905.9785487006934,0,1.851632445369603,0,-51.8516324453696,-5724.531133344413,-50000,15,2.662932692171001,-15.00625340210268,0.0,0,449.36744982940695,2.306249715282571,0,-50000,2.662932692171001,323.0153442336903,0,323.0153442336903,0.002161264419555664,1523791510.4180765
-87.73980278540535,-0.35668297688842987,21658.697400276193,-912.2601972145947,0,1.984655766309686,0,-51.984655766309686,-5352.904417232897,-50000,16,2.815872818377655,-13.37067307828999,0.0,0,647.8330264603755,2.484591203726786,0,-50000,2.815872818377655,322.6706010024224,0,322.6706010024224,0.0001404285430908203,1523791510.4290738
-84.95947982530879,-0.331281614650869,22586.07358391443,-915.0405201746912,0,2.3293989975775844,0,-52.329398997577584,-5047.736329239069,-50000,17,2.9600938563559143,-11.841271816223447,0.0,0,880.772926218134,2.6502320110522204,0,-50000,2.9600938563559143,322.49452324933213,0,322.49452324933213,0.0011920928955078125,1523791510.4410627
-80.91174170261638,-0.3098618453036939,23906.406434341625,-919.0882582973836,0,2.5054767506678672,0,-52.50547675066787,-4798.223062641984,-50000,18,3.097185943859971,-10.401047184499614,0.0,0,1131.3206012849207,2.805162933704067,0,-50000,3.097185943859971,322.27025951832866,0,322.27025951832866,0.00015020370483398438,1523791510.4515676
-78.2294144233282,-0.29202301015590404,24788.98631182714,-921.7705855766718,0,2.7297404816713424,0,-52.72974048167134,-4600.005024389889,-50000,19,3.2286146588425395,-9.040181163755438,0.0,0,1404.294649452055,2.951174438782019,0,-50000,3.2286146588425395,322.1158598160804,0,322.1158598160804,0.0023915767669677734,1523791510.4659715
-75.39247006333824,-0.2774402200605204,25714.889681889705,-924.6075299366618,0,2.8841401839196124,0,-52.88414018391961,-4442.6261487626325,-50000,20,3.355546834521472,-7.7399226600162905,0.0,0,1692.7086678440162,3.0898945488122793,0,-50000,3.355546834521472,321.96110520955324,0,321.96110520955324,0.000152587890625,1523791510.476734
-73.21310757783351,-0.2656522857091925,26428.226968414805,-926.7868924221665,0,3.0388947904467614,0,-53.03889479044676,-4320.336372762938,-50000,21,3.478985016600413,-6.487706535699957,0.0,0,1996.5981468886923,3.2227206916668756,0,-50000,3.478985016600413,321.84172991490686,0,321.84172991490686,0.002959012985229492,1523791510.4901865
-71.19241648334139,-0.25626432493353724,27087.309522178875,-928.8075835166586,0,3.158270085093136,0,-53.158270085093136,-4227.071622770361,-50000,22,3.5997584915367087,-5.27454295612651,0.0,0,2312.4251553980057,3.3508528541336444,0,-50000,3.5997584915367087,321.7342517286559,0,321.7342517286559,0.00013446807861328125,1523791510.501051
-69.56486595821502,-0.24890563740306426,27618.59990432944,-930.435134041785,0,3.26574827134408,0,-53.26574827134408,-4158.971266060112,-50000,23,3.718586241995569,-4.094160619281723,0.0,0,2638.999982532414,3.4753056728351766,0,-50000,3.718586241995569,321.64862448024724,0,321.64862448024724,0.0018620491027832031,1523791510.514002
-68.15388648106364,-0.24328056916039253,28078.396160382963,-931.8461135189364,0,3.3513755197527644,0,-53.351375519752764,-4112.146908280441,-50000,24,3.8360761536607244,-2.94179781623874,0.0,0,2974.1375345076904,3.5969459574153726,0,-50000,3.8360761536607244,321.5762501068425,0,321.5762501068425,0.0001304149627685547,1523791510.525062
-67.01562701396483,-0.2391301962453518,28449.365966290374,-932.9843729860352,0,3.423749893157492,0,-53.42374989315749,-4083.7523015665765,-50000,25,3.9527547908483407,-1.813892521530036,0.0,0,3316.5125238234396,3.7165110555380485,0,-50000,3.9527547908483407,321.51919804789657,0,321.51919804789657,0.0023005008697509766,1523791510.5383897
-66.0783900937787,-0.2362437353102922,28754.5290087522,-933.9216099062213,0,3.480801952103434,0,-53.480801952103434,-4071.0772824048017,-50000,26,4.069071284631335,-0.7075961025161703,0.0,0,3664.592719033783,3.834632923193195,0,-50000,4.069071284631335,321.4737926105218,0,321.4737926105218,0.00012969970703125,1523791510.5497284
-65.34560165913604,-0.2344383614381398,28993.101604221134,-934.654398340864,0,3.526207389478202,0,-53.5262073894782,-4071.9577780567697,-50000,27,4.185412935432956,0.3793402286865444,0.0,0,4017.213457981603,3.9518521039122647,0,-50000,4.185412935432956,321.43983659626224,0,321.43983659626224,0.001590728759765625,1523791510.5620239
-64.78178045227708,-0.23356083152069163,29176.555077005123,-935.2182195477229,0,3.5601634037377607,0,-53.56016340373776,-4084.4157111985337,-50000,28,4.302110527181486,1.4487607552550585,0.0,0,4373.229798355379,4.068632519672611,0,-50000,4.302110527181486,321.41540866202763,0,321.41540866202763,0.00014495849609375,1523791510.5727654
-64.37656462181906,-0.23347800750887515,29308.3801738206,-935.623435378181,0,3.5845913379723697,0,-53.58459133797237,-4106.7996234749735,-50000,29,4.419447659280771,2.502158603569029,0.0,0,4731.688932152616,4.185371523427048,0,-50000,4.419447659280771,321.39977420709346,0,321.39977420709346,0.003226757049560547,1523791510.5866954
-64.10845720517443,-0.2340761358537229,29395.556329491825,-935.8915427948256,0,3.600225792906542,0,-53.60022579290654,-4137.636963940701,-50000,30,4.537665858250506,3.54076359923679,0.0,0,5091.71151144327,4.30240959135391,0,-50000,4.537665858250506,321.3917258049213,0,321.3917258049213,0.00013375282287597656,1523791510.5974684
-63.96499223568071,-0.23525626689659607,29442.180754276185,-936.0350077643193,0,3.6082741950787067,0,-53.60827419507871,-4175.672650965391,-50000,31,4.656970791135231,4.565577006709205,0.0,0,5452.538930951141,4.420037724802208,0,-50000,4.656970791135231,321.39049884238415,0,321.39049884238415,0.0017504692077636719,1523791510.61039
