I_32,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_lower_p3,dif_myu_lower_v3,dif_myu_upper_p3,dif_myu_upper_v3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu_lower_p3,myu_lower_v3,myu_upper_p3,myu_upper_v3,original_generated_power3,original_lambda3,original_voltage3,line32,voltage3,time step,current time
-76.73465587732892,-0.07488724645135551,24765.028307591296,-923.2653441226711,0,-3.8601662950093214,0,-46.13983370499068,-14193.230208438588,-50000,10,0.22452578304929816,-42.09087755233481,0.0,0,0,0.14653007351379585,0,-50000,0.22452578304929816,327.3499094237018,0,327.3499094237018,0.010110616683959961,1523628247.7802448
-80.95653248030715,-0.0779957095355023,23498.886425314486,-919.0434675196929,0,-2.3499094237017744,0,-47.650090576298226,-13384.917741383088,-50000,11,0.2627684051675355,-39.79353304711864,0.0,0,0,0.18552792828154702,0,-50000,0.2627684051675355,325.90505675456876,0,325.90505675456876,0.01096343994140625,1523628247.8018804
-87.19871220421851,-0.07724047688598851,21581.49875015886,-912.8012877957815,0,-0.9050567545687613,0,-49.09494324543124,-12236.024352291979,-50000,12,0.2977284747455126,-36.429438455122884,0.0,0,0,0.22414816672454127,0,-50000,0.2977284747455126,324.56998898344494,0,324.56998898344494,0.010591745376586914,1523628247.8233676
-94.36627653555945,-0.07358030802097135,19371.53866444475,-905.6337234644405,0,0.43001101655505636,0,-50.430011016555056,-11014.115742143074,-50000,13,0.32919737686592143,-32.80750781919832,0.0,0,43.001101655505636,0.26093832073502693,0,-50000,0.32919737686592143,323.8060824396712,0,323.8060824396712,0.01031494140625,1523628247.8450127
-97.24693175138214,-0.0682590561308945,18510.85200030688,-902.7530682486179,0,1.1939175603288277,0,-51.19391756032883,-9920.805775704324,-50000,14,0.35754253622507665,-29.42390484439434,0.0,0,162.3928576883884,0.2950678488004742,0,-50000,0.35754253622507665,323.77285053934247,0,323.77285053934247,0.010292291641235352,1523628247.8664913
-94.8206375692348,-0.06247468742460244,19299.65188425098,-905.1793624307652,0,1.2271494606575288,0,-51.22714946065753,-8826.068378845626,-50000,15,0.38275987445034987,-25.793680242714984,0.0,0,285.1078037541413,0.32630519251277545,0,-50000,0.38275987445034987,323.50377378494204,0,323.50377378494204,0.010380268096923828,1523628247.8881133
-97.66120562875756,-0.056454681937574414,18406.231426709706,-902.3387943712424,0,1.496226215057959,0,-51.49622621505796,-7480.844696035475,-50000,16,0.4041337164390226,-21.3669924329836,0.0,0,434.7304252599372,0.35453253348156266,0,-50000,0.4041337164390226,323.4392304670465,0,323.4392304670465,0.010338068008422852,1523628247.9090834
-99.77663436064518,-0.049601182957459966,17728.322163801055,-900.2233656393548,0,1.5607695329534863,0,-51.560769532953486,-6356.004652394475,-50000,17,0.42229372973157825,-17.517492754029135,0.0,0,590.8073785552858,0.37933312496029264,0,-50000,0.42229372973157825,323.3753832126562,0,323.3753832126562,0.010425090789794922,1523628247.9300165
-102.79804782422104,-0.042960604771285604,16757.641891329564,-897.201952175779,0,1.6246167873438253,0,-51.624616787343825,-5459.432628379935,-50000,18,0.43789210866980666,-14.331571873672027,0.0,0,753.2690572896684,0.40081342734593545,0,-50000,0.43789210866980666,323.3859701052929,0,323.3859701052929,0.010861873626708984,1523628247.9516644
-105.24560720157069,-0.03707868132387121,15965.047215799459,-894.7543927984293,0,1.6140298947070733,0,-51.61402989470707,-4885.709214014598,-50000,19,0.4518512778527055,-12.099851133792178,0.0,0,914.6720467603757,0.419352768007871,0,-50000,0.4518512778527055,323.41723742831647,0,323.41723742831647,0.010336637496948242,1523628247.973241
