I_32,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_lower_p3,dif_myu_lower_v3,dif_myu_upper_p3,dif_myu_upper_v3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu_lower_p3,myu_lower_v3,myu_upper_p3,myu_upper_v3,original_generated_power3,original_lambda3,original_voltage3,line32,voltage3,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,350,0,1523627441.8678136
0,0,0,-1000,-50000,-25,50000,-25,0,-50000,1,0.0,0,0,0,0,0.0,0,-50000,0.0,350.0,0,350.0,0.0005018711090087891,1523627451.876985
0.0,0.0,50000.0,-1000.0,0,-25.0,0,-25.0,0.0,-50000,2,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,342.85714285714283,0,342.85714285714283,0.0029141902923583984,1523627451.8908355
-71.42857142857167,0.0,25510.20408163257,-928.5714285714283,0,-17.857142857142833,0,-32.14285714285717,0.0,-50000,3,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,339.2128279883382,0,339.2128279883382,0.0032796859741210938,1523627451.9050817
-90.01457725947546,0.0,19465.900687638576,-909.9854227405245,0,-14.212827988338177,0,-35.78717201166182,-4352.678571428586,-50000,4,0.012436224489795962,-12.500000000000043,0.0,0,0,0.0,0,-50000,0.012436224489795962,337.05379625745104,0,337.05379625745104,0.00017309188842773438,1523627451.9161718
-87.37503498602962,-0.012436224489795962,20549.912759831117,-912.6249650139704,0,-12.05379625745104,0,-37.94620374254896,-8582.331385231311,-50000,5,0.03695717130474257,-24.813111724281647,0.0,0,0,0.006218112244897981,0,-50000,0.03695717130474257,335.34414177536536,0,335.34414177536536,0.003273487091064453,1523627451.9303553
-81.0536032338041,-0.030739059059844587,22819.148985758988,-918.9463967661959,0,-10.344141775365358,0,-39.65585822463464,-11214.595942524042,-50000,6,0.06899887399766841,-32.63537972898932,0.0,0,0,0.021587641774820275,0,-50000,0.06899887399766841,333.68634848347466,0,333.68634848347466,0.000125885009765625,1523627451.9411843
-77.815767844736,-0.04741123222284813,24033.940573452262,-922.184232155264,0,-8.68634848347466,0,-41.31365151652534,-12011.208849519935,-50000,7,0.10331661356772537,-35.1437706466343,0.0,0,0,0.045293257886244345,0,-50000,0.10331661356772537,331.9688153800558,0,331.9688153800558,0.010556936264038086,1523627451.9623756
-79.66883630988036,-0.05802335568148102,23552.430787501442,-920.3311636901196,0,-6.968815380055787,0,-43.03118461994421,-11456.036955822836,-50000,8,0.13604814772721918,-33.65217233834081,0.0,0,0,0.07430493572698485,0,-50000,0.13604814772721918,330.2407591183874,0,330.2407591183874,0.010299205780029297,1523627451.9838574
-85.64200054770652,-0.06174321200023433,21717.520726708048,-914.3579994522935,0,-5.240759118387416,0,-44.759240881612584,-10155.52675838848,-50000,9,0.165063938465472,-29.905772076156996,0.0,0,0,0.10517654172710202,0,-50000,0.165063938465472,328.58904569434173,0,328.58904569434173,0.009452104568481445,1523627452.0040836
-93.92216544010523,-0.05988739673836997,19138.20528848974,-906.0778345598948,0,-3.589045694341735,0,-46.410954305658265,-8595.150045697023,-50000,10,0.18962151002460634,-25.339108043758625,0.0,0,0,0.135120240096287,0,-50000,0.18962151002460634,327.0828949453714,0,327.0828949453714,0.01032710075378418,1523627452.0255191
-102.88321514724942,-0.05450126992831933,16348.66014835018,-897.1167848527506,0,-2.082894945371379,0,-47.91710505462862,-7082.404713640855,-50000,11,0.2098569520635802,-20.87726109630671,0.0,0,0,0.16237087506044667,0,-50000,0.2098569520635802,325.75914416898434,0,325.75914416898434,0.010579824447631836,1523627452.0469294
-111.00438432695682,-0.04748607700313354,13839.306762645523,-888.9956156730432,0,-0.759144168984335,0,-49.240855831015665,-6292.935198104061,-50000,12,0.2278367669153061,-18.542874946113553,0.0,0,0,0.18611391356201346,0,-50000,0.2278367669153061,324.68109108833556,0,324.68109108833556,0.0001323223114013672,1523627452.0586572
