I_32,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_lower_p3,dif_myu_lower_v3,dif_myu_upper_p3,dif_myu_upper_v3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu_lower_p3,myu_lower_v3,myu_upper_p3,myu_upper_v3,original_generated_power3,original_lambda3,original_voltage3,line32,voltage3,time step,current time
-67.62161118132497,-0.05109805227400177,28221.843386902598,-932.378388818675,0,2.940879659018435,0,-52.940879659018435,-7747.94693352984,-50000,21,0.6243711383504068,-17.864860126506592,0.0,0,2086.2406128737402,0.5766851209747492,0,-50000,0.6243711383504068,322.0751576495182,0,322.0751576495182,0.0015180110931396484,1523627293.6292028
-67.85741521925104,-0.047686017375657586,28144.812295570908,-932.142584780749,0,2.9248423504818106,0,-52.92484235048181,-7826.3562455461315,-50000,22,0.6467321561948243,-17.196873279094763,0.0,0,2378.7248479219215,0.600528129662578,0,-50000,0.6467321561948243,322.09736342142503,0,322.09736342142503,0.00015211105346679688,1523627293.6398356
-67.18136331639528,-0.04620402653224631,28361.060004732237,-932.8186366836047,0,2.9026365785749704,0,-52.90263657857497,-8152.378507967832,-50000,23,0.6700246662175895,-17.294674272986338,0.0,0,2668.9885057794186,0.6236301429287011,0,-50000,0.6700246662175895,322.11304550046225,0,322.11304550046225,0.0015454292297363281,1523627293.6526601
-65.73388157282352,-0.04639452328888838,28826.2592140111,-934.2661184271765,0,2.886954499537751,0,-52.88695449953775,-8635.927287989585,-50000,24,0.694698744183274,-17.885898339849575,0.0,0,2957.6839557331937,0.6468274045731452,0,-50000,0.694698744183274,322.1156668677112,0,322.1156668677112,0.00014400482177734375,1523627293.6635501
-63.69657845671554,-0.047871339610128794,29482.334153223586,-936.3034215432845,0,2.884333132288816,0,-52.884333132288816,-9195.298163561538,-50000,25,0.7209710246505927,-18.71960139183813,0.0,0,3246.1172689620753,0.6707630743782096,0,-50000,0.7209710246505927,322.10185200147686,0,322.10185200147686,0.002663135528564453,1523627293.6773593
-61.2803102557848,-0.05020795027238312,30261.49857538662,-938.7196897442152,0,2.898147998523143,0,-52.89814799852314,-9764.049803133385,-50000,26,0.7488683098024024,-19.588618253534506,0.0,0,3535.93206881439,0.6958670495144011,0,-50000,0.7488683098024024,322.07179303253525,0,322.07179303253525,0.00012946128845214844,1523627293.687829
-58.678396090323304,-0.05300126028800123,31101.343758916268,-941.3216039096767,0,2.928206967464746,0,-52.928206967464746,-10295.538124227249,-50000,27,0.7782841330144802,-20.344357951089073,0.0,0,3828.7527655608646,0.7223676796584018,0,-50000,0.7782841330144802,322.02774205218725,0,322.02774205218725,0.10181903839111328,1523627293.8004093
-56.051952087443055,-0.05591645335607842,31949.716431663328,-943.948047912557,0,2.97225794781275,0,-52.97225794781275,-10762.62310331218,-50000,28,0.8090344847382293,-20.897232448977732,0.0,0,4125.97856034214,0.7503259063364409,0,-50000,0.8090344847382293,321.9732723816641,0,321.9732723816641,0.005223751068115234,1523627293.8167322
-53.51709203038922,-0.058708578401788336,32768.9267506249,-946.4829079696108,0,3.026727618335883,0,-53.02672761833588,-11155.215864040812,-50000,29,0.8409065300640601,-21.210244705844772,0.0,0,4428.651322175728,0.7796801955373351,0,-50000,0.8409065300640601,321.91232701620225,0,321.91232701620225,0.004767656326293945,1523627293.8328547
-51.145099713334616,-0.06122633452672499,33535.76193580475,-948.8549002866654,0,3.087672983797745,0,-53.087672983797745,-11476.199386641672,-50000,30,0.8736956711687506,-21.287340304954345,0.0,0,4737.4186205555025,0.8102933628006976,0,-50000,0.8736956711687506,321.8486339215481,0,321.8486339215481,0.0001289844512939453,1523627293.8436959
