delta_generated_power4,delta_lambda4,delta_voltage4,dif_generated_power4,dif_lambda4,dif_myu_43,dif_myu_lower_p4,dif_myu_upper_p4,dif_voltage4,generated_power4,iteration4,lambda4,modified_dif_voltage4,myu43,myu_lower_p4,myu_upper_p4,original_generated_power4,original_lambda4,P_43,line43,voltage4,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1527586898.6063993
0,0.0,0.0,9.82,0,-1000,0,-76,0,0,1,0.0,0,0,4.91,0,0,0.0,0,0,350.0,0.0005528926849365234,1527586908.6208403
0,0.0,0.0,4.91,0.0,-1000.0,0,-76,0.0,0,2,0.0,0.0,0.0,7.365,0,0,0.0,0.0,0,350.0,0.0005753040313720703,1527586908.633363
0,0.9999999999934062,-0.0014285714285620088,2.455,9.999999999934062,-990.0000000000659,0,-76,0.0,0,3,0.9999999999934062,0.0,0.0,8.592500000000001,0,0,0.9999999999934062,9.999999999934062,0,349.99857142857144,0.006959438323974609,1527586908.6512
0,0.4999999999967031,-0.0014285714285620088,0.22750000000659298,9.999999999934062,-990.0000000000659,0,-76,3499.9999999769216,0,4,1.4999999999901092,3499.9999999769216,0.0,8.706250000003298,0,0,1.4999999999901092,9.999999999934062,0,349.9971428571429,0.0006711483001708984,1527586908.6648345
0,0.4375000000095497,-0.0013392857142662251,-0.3862499999934066,9.375000000062528,-990.6249999999375,0,-76,3499.9999999769216,0,5,1.937499999999659,3499.9999999769216,0.0,8.513125000006594,0,0,1.937499999999659,9.375000000062528,0,349.9958035714286,0.0023391246795654297,1527586908.6777935
0,0.4062500000184599,-0.0012500000000272848,-0.630625000006253,8.750000000190994,-991.249999999809,0,-76,3281.250000004477,0,6,2.343750000018119,3281.250000004477,0.0,8.197812500003469,0,0,2.343750000018119,8.750000000190994,0,349.9945535714286,0.0040988922119140625,1527586908.6932049
0,0.41015624999651834,-0.0011774553571513025,-0.7215625000215873,8.242187500059117,-991.7578124999409,0,-76,2898.437500065753,0,7,2.753906250014637,2898.437500065753,0.0,7.837031249992675,0,0,2.753906250014637,8.242187500059117,0,349.99337611607143,0.0031206607818603516,1527586908.7070782
0,0.43164062500220535,-0.0011216517857519648,-0.770937500007312,7.8515625000648015,-992.1484374999352,0,-76,2474.6093750299233,0,8,3.1855468750168425,2474.6093750299233,0.0,7.451562499989019,0,0,3.1855468750168425,7.8515625000648015,0,349.9922544642857,0.00330352783203125,1527586908.721635
0,0.45971679685270495,-0.001079450334827925,-0.8171093750058613,7.556152343596523,-992.4438476564035,0,-76,2071.2890625486307,0,9,3.6452636718695475,2071.2890625486307,0.0,7.043007812486088,0,0,3.6452636718695475,7.556152343596523,0,349.99117501395085,0.0041656494140625,1527586908.736375
0,0.4888916015517424,-0.0010477120535483664,-0.8682714843556356,7.333984374838565,-992.6660156251614,0,-76,1711.5478515247978,0,10,4.13415527342129,1711.5478515247978,0.0,6.608872070308271,0,0,4.13415527342129,7.333984374838565,0,349.9901273018973,0.00283050537109375,1527586908.7496967
0,0.5165557861464789,-0.0010238865443739087,-0.9230273437295606,7.167205810617361,-992.8327941893826,0,-76,1401.153564406799,0,11,4.650711059567769,1401.153564406799,0.0,6.14735839844349,0,0,4.650711059567769,7.167205810617361,0,349.98910341535293,0.003946065902709961,1527586908.764359
0,0.5223394470162717,-0.0010060119628860775,-0.9780694580112588,7.042083740202543,-992.9579162597975,0,-76,1273.08248902788,0,12,5.17305050658404,1273.08248902788,0.0,5.658323669437861,0,0,5.17305050658404,7.042083740202543,0,349.98809740339004,0.0028755664825439453,1527586908.7778275
0,0.4794679820815988,-0.0009778494153351858,-1.011374176021901,6.844945907545252,-993.1550540924547,0,-76,1435.186260710485,0,13,5.652518488665639,1435.186260710485,0.0,5.15263658142691,0,0,5.652518488665639,6.844945907545252,0,349.9871195539747,0.005254268646240234,1527586908.7941186
