I_12,I_14,delta_generated_power1,delta_lambda1,delta_voltage1,dif_generated_power1,dif_lambda1,dif_myu_12,dif_myu_14,dif_myu_lower_p1,dif_myu_lower_v1,dif_myu_upper_p1,dif_myu_upper_v1,dif_voltage1,generated_power1,iteration1,lambda1,modified_dif_voltage1,myu12,myu14,myu_lower_p1,myu_lower_v1,myu_upper_p1,myu_upper_v1,original_generated_power1,original_lambda1,original_voltage1,line12,line14,voltage1,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,350,0,1529228163.0856433
0.0,0.0,-50000,0.0,-2.838973427208714,0.0,0.0,-1000.0,-1000.0,-50000,-25,50000,-25,0.0,-50000,1,0.0,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,347.1610265727913,0,0,347.1610265727913,0.0006279945373535156,1529228163.5875988
-17.85714285714281,-17.85714285714281,0,0.0,-2.152446300062195,0.0,37601.39190811463,-982.1428571428572,-982.1428571428572,0,-22.161026572791286,0,-27.838973427208714,0.0,-50000,2,0.0,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,345.0085802727291,0,0,345.0085802727291,0.0001995563507080078,1529228163.5984533
-29.16388722739121,-29.16388722739121,0,0.0031669966733617514,-1.7146656666317313,0.0,29876.417344887563,-970.8361127726088,-970.8361127726088,0,-20.00858027272909,0,-29.99141972727091,-27.49084821428564,-50000,3,0.0031669966733617514,-0.07862499999999979,0.0,0.0,0,0,0.0,0,-50000,0.0031669966733617514,343.29391460609736,0,0,343.29391460609736,0.001371622085571289,1529228163.6129878
-36.54315312191448,-36.54315312191448,0,0.004810470891848566,-1.4325642683605793,-0.0031669966733617514,24909.9158254559,-963.4568468780856,-963.4568468780856,0,-18.29391460609736,0,-31.70608539390264,-41.54935945040428,-50000,4,0.007977467565210318,-0.1176912152498871,0.0,0.0,0,0,0.0015834983366808757,0,-50000,0.007977467565210318,341.8613503377368,0,0,341.8613503377368,0.00020837783813476562,1529228163.624702
-41.57138002223696,-41.57138002223696,0,0.005842861554170464,-1.242865909624129,-0.006393969228529442,21576.70378038972,-958.428619977763,-958.428619977763,0,-16.86135033773678,0,-33.13864966226322,-50.25580528514829,-50000,5,0.013820329119380782,-0.14041151766704024,0.0,0.0,0,0,0.0047804829509455965,0,-50000,0.013820329119380782,340.61848442811265,0,0,340.61848442811265,0.00021600723266601562,1529228163.6379888
-45.11843752536011,-45.11843752536011,0,0.006635949564919499,-1.1109893231829915,-0.009039846168435187,19263.652380694708,-954.8815624746398,-954.8815624746398,0,-15.618484428112652,0,-34.38151557188735,-56.869829421973904,-50000,6,0.02045627868430028,-0.15634545002708533,0.0,0.0,0,0,0.009300406035163189,0,-50000,0.02045627868430028,339.50749510492966,0,0,339.50749510492966,0.00022792816162109375,1529228163.6490715
-47.68707344775709,-47.68707344775709,0,0.0072990510338544964,-1.0171989640015795,-0.011155872649137092,17619.762289734375,-952.3129265522429,-952.3129265522429,0,-14.50749510492966,0,-35.49250489507034,-62.34855653397819,-50000,7,0.027755329718154777,-0.16839073590732068,0.0,0.0,0,0,0.014878342359731735,0,-50000,0.027755329718154777,338.4902961409281,0,0,338.4902961409281,0.003119230270385742,1529228163.663686
-49.584410335211516,-49.584410335211516,0,0.007858670501176158,-0.9495431891496082,-0.012876987358423042,16432.31652332192,-950.4155896647885,-950.4155896647885,0,-13.49029614092808,0,-36.50970385907192,-66.92770602326209,-50000,8,0.035614000219330935,-0.17733113517047117,0.0,0.0,0,0,0.021316836038943257,0,-50000,0.035614000219330935,337.5407529517785,0,0,337.5407529517785,0.00019931793212890625,1529228163.6784875
-51.00813419490873,-51.00813419490873,0,0.008322737948783646,-0.9003618745738322,-0.014297164180387678,15565.3519543703,-948.9918658050913,-948.9918658050913,0,-12.540752951778472,0,-37.45924704822153,-70.68106296373573,-50000,9,0.04393673816811458,-0.18346483394710217,0.0,0.0,0,0,0.028465418129137096,0,-50000,0.04393673816811458,336.64039107720464,0,0,336.64039107720464,0.0002491474151611328,1529228163.6914585
-52.09121119549301,-52.09121119549301,0,0.008699075122534164,-0.864506424168269,-0.015471320038977485,14927.988582927945,-947.908788804507,-947.908788804507,0,-11.64039107720464,0,-38.35960892279536,-73.68005488969867,-50000,10,0.052635813290648745,-0.18707182058767946,0.0,0.0,0,0,0.03620107814862584,0,-50000,0.052635813290648745,335.77588465303637,0,0,335.77588465303637,0.00019931793212890625,1529228163.706131
-52.9261457528494,-52.9261457528494,0,0.008998308918979361,-0.8383896988696051,-0.016434735142022906,14457.353177122895,-947.0738542471506,-947.0738542471506,0,-10.775884653036371,0,-39.22411534696363,-76.01880486331429,-50000,11,0.061634122209628106,-0.1884875249091671,0.0,0.0,0,0,0.044418445719637295,0,-50000,0.061634122209628106,334.93749495416677,0,0,334.93749495416677,0.00020122528076171875,1529228163.7213063
-53.57886337241079,-53.57886337241079,0,0.00923262225666431,-0.8194490131263024,-0.01721567648999081,14108.859439106345,-946.4211366275892,-946.4211366275892,0,-9.937494954166766,0,-40.062505045833234,-77.80356048191163,-50000,12,0.07086674446629242,-0.18807210058406953,0.0,0.0,0,0,0.0530262839646327,0,-50000,0.07086674446629242,334.11804594104046,0,0,334.11804594104046,0.0002167224884033203,1529228163.7380655
-54.09712189300088,-54.09712189300088,0,0.009414119503376117,-0.805823127090548,-0.017840460501659716,13850.35068415253,-945.9028781069991,-945.9028781069991,0,-9.118045941040464,0,-40.881954058959536,-79.13894867212244,-50000,13,0.08028086396966853,-0.18617084618702018,0.0,0.0,0,0,0.06194651421546256,0,-50000,0.08028086396966853,333.3122228139499,0,0,333.3122228139499,0.0003788471221923828,1529228163.7493877
-54.51589023860231,-54.51589023860231,0,0.009553754893982122,-0.7961461286097347,-0.018334349754205975,13658.374891780302,-945.4841097613977,-945.4841097613977,0,-8.312222813949916,0,-41.687777186050084,-80.11908332311015,-50000,14,0.08983461886365066,-0.18308930682267555,0.0,0.0,0,0,0.07111368909256555,0,-50000,0.08983461886365066,332.5160766853402,0,0,332.5160766853402,0.002388477325439453,1529228163.7646613
-54.86094895801792,-54.86094895801792,0,0.009660851887938207,-0.7894092225994882,-0.01872092977108511,13515.704978490357,-945.139051041982,-945.139051041982,0,-7.516076685340181,0,-42.48392331465982,-80.82369635113879,-50000,15,0.09949547075158886,-0.17908335276186294,0.0,0.0,0,0,0.0804741539781081,0,-50000,0.09949547075158886,331.7266674627407,0,0,331.7266674627407,0.00020265579223632812,1529228163.776169
-55.151386942507756,-55.151386942507756,0,0.009743023259989464,-0.7848645278880895,-0.019021316773480762,13409.628407227581,-944.8486130574922,-944.8486130574922,0,-6.726667462740693,0,-43.27333253725931,-81.3176392281346,-50000,16,0.10923849401157833,-0.1743591708999499,0.0,0.0,0,0,0.08998481236484848,0,-50000,0.10923849401157833,330.9418029348526,0,0,330.9418029348526,0.004106283187866211,1529228163.7917233
-55.40137697367738,-55.40137697367738,0,0.009806308496002447,-0.7819563573361847,-0.019253681646729845,13330.736838515557,-944.5986230263226,-944.5986230263226,0,-5.941802934852603,0,-44.0581970651474,-81.6521861312687,-50000,17,0.11904480250758077,-0.16907841899241594,0.0,0.0,0,0,0.09961165318821341,0,-50000,0.11904480250758077,330.1598465775164,0,0,330.1598465775164,0.0002014636993408203,1529228163.804349
-55.62146018677411,-55.62146018677411,0,0.009855402425813745,-0.7802712947984674,-0.019433149319367363,13272.054476634446,-944.3785398132259,-944.3785398132259,0,-5.159846577516419,0,-44.84015342248358,-81.86707112611731,-50000,18,0.12890020493339452,-0.1633653373116608,0.0,0.0,0,0,0.10932822784789709,0,-50000,0.12890020493339452,329.37957528271795,0,0,329.37957528271795,0.0002090930938720703,1529228163.815122
-55.81948569273867,-55.81948569273867,0,0.009893901892076534,-0.77950154449303,-0.019571977085497433,13228.40302005197,-944.1805143072613,-944.1805143072613,0,-4.379575282717951,0,-45.62042471728205,-81.9926459500224,-50000,19,0.13879410682547105,-0.15731399930461842,0.0,0.0,0,0,0.1191142163906458,0,-50000,0.13879410682547105,328.6000737382249,0,0,328.6000737382249,0.0032968521118164062,1529228163.8299668
-56.00130282619237,-56.00130282619237,0,0.009924533823516213,-0.7794178534296066,-0.01967989043482525,13195.935523753047,-943.9986971738076,-943.9986971738076,0,-3.6000737382249213,0,-46.39992626177508,-82.05185606301946,-50000,20,0.14871864064898727,-0.1509948276189259,0.0,0.0,0,0,0.12895416160805842,0,-50000,0.14871864064898727,327.8206558847953,0,0,327.8206558847953,0.00020241737365722656,1529228163.8435235
-56.17127340952861,-56.17127340952861,0,0.009949350051588313,-0.7798494320009013,-0.019764479040928845,13171.792618008338,-943.8287265904714,-943.8287265904714,0,-2.8206558847953147,0,-47.179344115204685,-82.06191788200388,-50000,21,0.15866799070057558,-0.1444600602731767,0.0,0.0,0,0,0.13883640112852286,0,-50000,0.15866799070057558,327.0408064527944,0,0,327.0408064527944,0.000202178955078125,1529228163.854944
-56.33265187098833,-56.33265187098833,0,0.009969886049476323,-0.7806690322475447,-0.01983158957205272,13153.848204974915,-943.6673481290117,-943.6673481290117,0,-2.0408064527944134,0,-47.95919354720559,-82.03567887839817,-50000,22,0.1686378767500519,-0.13774814562661675,0.0,0.0,0,0,0.14875219591454922,0,-50000,0.1686378767500519,326.26013742054687,0,0,326.26013742054687,0.004034757614135742,1529228163.8704863
-56.48786778565278,-56.48786778565278,0,0.009987286405172185,-0.7817818455839074,-0.019885680835502684,13140.52098731848,-943.5121322143473,-943.5121322143473,0,-1.2601374205468687,0,-48.73986257945313,-81.98268842484752,-50000,23,0.1786251631552241,-0.13088717866036959,0.0,0.0,0,0,0.15869503633230056,0,-50000,0.1786251631552241,325.47835557496296,0,0,325.47835557496296,0.0003285408020019531,1529228163.8859026
-56.63873611063888,-56.63873611063888,0,0.010002401992563942,-0.4783555749629613,-0.019930126822923527,13130.634617729964,-943.3612638893611,-943.3612638893611,0,-0.4783555749629613,0,-49.52164442503704,-81.9100242648604,-50000,24,0.18862756514778803,-0.12389753665290204,0.0,0.0,0,0,0.16866009974376234,0,-50000,0.18862756514778803,324.69523833822547,0,0,325,0.0002789497375488281,1529228163.8991852
-54.86966287185247,-54.86966287185247,0,0.00982959062361341,0,-0.01996746540402569,14334.719133295897,-943.2133862755857,-943.2133862755857,0,0.3047616617745348,0,-50.304761661774535,-80.37656252928682,-50000,25,0.19845715577140144,-0.11679387364157279,0.0,0.0,0,4.571424926618022,0.1786438324457752,0,-50000,0.19845715577140144,324.1417281634261,0,0,325,0.00020742416381835938,1529228163.9128199
-50.32096650689204,-50.32096650689204,0,0.00971995783158311,0,-0.019813323325626242,17291.371770520174,-944.280503641058,-944.280503641058,0,0.8582718365739197,0,-50.85827183657392,-79.48009518885519,-50000,26,0.20817711360298455,-0.10499228400859462,0.0,0.0,0,17.445502475226817,0.18855049410858832,0,-50000,0.20817711360298455,323.96073376614953,0,0,325,0.00023984909057617188,1529228163.924593
-46.32291654918236,-46.32291654918236,0,0.01017163937245738,0,-0.01962661949439623,19890.104243031466,-947.1400988398982,-947.1400988398982,0,1.0392662338504692,0,-51.03926623385047,-83.17349514858401,-50000,27,0.21834875297544193,-0.08170098094717204,0.0,0.0,0,33.034495982983856,0.19836380385578645,0,-50000,0.21834875297544193,323.80266759702863,0,0,325,0.00473332405090332,1529228163.9405675
